"#","Germplasm","Species","Bloom_Date","Dataset"
"496","FR3T014","Prunus avium","4/26/2011","Sweet_cherry_CRS_phenotyping_2011"
"497","FR3T015","Prunus avium","4/24/2012","Sweet_cherry_CRS_phenotyping_2012"
"498","FR3T015","Prunus avium","4/28/2011","Sweet_cherry_CRS_phenotyping_2011"
"499","FR3T016","Prunus avium","4/21/2012","Sweet_cherry_CRS_phenotyping_2012"
"500","FR3T016","Prunus avium","4/22/2011","Sweet_cherry_CRS_phenotyping_2011"
"501","FR3T016","Prunus avium","4/8/2010","Sweet_cherry_CRS_phenotyping_2010"
"502","FR3T017","Prunus avium","4/20/2012","Sweet_cherry_CRS_phenotyping_2012"
"503","FR3T018","Prunus avium","4/17/2012","Sweet_cherry_CRS_phenotyping_2012"
"504","FR3T018","Prunus avium","4/19/2011","Sweet_cherry_CRS_phenotyping_2011"
"505","FR3T018","Prunus avium","4/7/2010","Sweet_cherry_CRS_phenotyping_2010"
"506","FR3T019","Prunus avium","4/19/2012","Sweet_cherry_CRS_phenotyping_2012"
"507","FR3T020","Prunus avium","4/10/2010","Sweet_cherry_CRS_phenotyping_2010"
"508","FR3T020","Prunus avium","4/19/2012","Sweet_cherry_CRS_phenotyping_2012"
"509","FR3T020","Prunus avium","4/21/2011","Sweet_cherry_CRS_phenotyping_2011"
"510","FR3T021","Prunus avium","4/10/2010","Sweet_cherry_CRS_phenotyping_2010"
"511","FR3T021","Prunus avium","4/21/2011","Sweet_cherry_CRS_phenotyping_2011"
"512","FR3T021","Prunus avium","4/21/2012","Sweet_cherry_CRS_phenotyping_2012"
"513","FR3T022","Prunus avium","4/19/2012","Sweet_cherry_CRS_phenotyping_2012"
"514","FR3T022","Prunus avium","4/24/2011","Sweet_cherry_CRS_phenotyping_2011"
"515","FR3T023","Prunus avium","4/20/2011","Sweet_cherry_CRS_phenotyping_2011"
"516","FR3T023","Prunus avium","4/21/2012","Sweet_cherry_CRS_phenotyping_2012"
"517","FR3T025","Prunus avium","4/10/2010","Sweet_cherry_CRS_phenotyping_2010"
"518","FR3T025","Prunus avium","4/21/2011","Sweet_cherry_CRS_phenotyping_2011"
"519","FR3T025","Prunus avium","4/21/2012","Sweet_cherry_CRS_phenotyping_2012"
"520","FR3T026","Prunus avium","4/17/2012","Sweet_cherry_CRS_phenotyping_2012"
"521","FR3T026","Prunus avium","4/20/2011","Sweet_cherry_CRS_phenotyping_2011"
"522","FR3T027","Prunus avium","4/17/2012","Sweet_cherry_CRS_phenotyping_2012"
"523","FR3T027","Prunus avium","4/21/2011","Sweet_cherry_CRS_phenotyping_2011"
"524","FR3T028","Prunus avium","4/23/2012","Sweet_cherry_CRS_phenotyping_2012"
"525","FR3T029","Prunus avium","4/21/2011","Sweet_cherry_CRS_phenotyping_2011"
"526","FR3T029","Prunus avium","4/22/2012","Sweet_cherry_CRS_phenotyping_2012"
"527","FR3T030","Prunus avium","4/15/2012","Sweet_cherry_CRS_phenotyping_2012"
"528","FR3T030","Prunus avium","4/19/2011","Sweet_cherry_CRS_phenotyping_2011"
"529","FR3T031","Prunus avium","4/14/2012","Sweet_cherry_CRS_phenotyping_2012"
"530","FR3T031","Prunus avium","4/19/2011","Sweet_cherry_CRS_phenotyping_2011"
"531","FR3T032","Prunus avium","4/17/2012","Sweet_cherry_CRS_phenotyping_2012"
"532","FR3T032","Prunus avium","4/20/2011","Sweet_cherry_CRS_phenotyping_2011"
"533","FR3T033","Prunus avium","4/15/2012","Sweet_cherry_CRS_phenotyping_2012"
"534","FR3T033","Prunus avium","4/19/2011","Sweet_cherry_CRS_phenotyping_2011"
"535","FR3T034","Prunus avium","4/19/2011","Sweet_cherry_CRS_phenotyping_2011"
"536","FR3T043","Prunus avium","4/20/2012","Sweet_cherry_CRS_phenotyping_2012"
"537","FR3T043","Prunus avium","4/21/2011","Sweet_cherry_CRS_phenotyping_2011"
"538","FR3T043","Prunus avium","4/7/2010","Sweet_cherry_CRS_phenotyping_2010"
"539","FR3T044","Prunus avium","4/20/2011","Sweet_cherry_CRS_phenotyping_2011"
"540","FR3T044","Prunus avium","4/20/2012","Sweet_cherry_CRS_phenotyping_2012"
"541","FR3T046","Prunus avium","4/18/2012","Sweet_cherry_CRS_phenotyping_2012"
"542","FR3T046","Prunus avium","4/21/2011","Sweet_cherry_CRS_phenotyping_2011"
"543","FR3T047","Prunus avium","4/20/2012","Sweet_cherry_CRS_phenotyping_2012"
"544","FR3T047","Prunus avium","4/21/2011","Sweet_cherry_CRS_phenotyping_2011"
"545","FR3T050","Prunus avium","4/19/2011","Sweet_cherry_CRS_phenotyping_2011"
"546","FR3T050","Prunus avium","4/7/2010","Sweet_cherry_CRS_phenotyping_2010"
"547","FR3T056","Prunus avium","4/20/2011","Sweet_cherry_CRS_phenotyping_2011"
"548","FR3T056","Prunus avium","4/9/2010","Sweet_cherry_CRS_phenotyping_2010"
"549","FR3T057","Prunus avium","4/17/2012","Sweet_cherry_CRS_phenotyping_2012"
"550","FR3T057","Prunus avium","4/21/2011","Sweet_cherry_CRS_phenotyping_2011"
"551","FR3T058","Prunus avium","4/19/2011","Sweet_cherry_CRS_phenotyping_2011"
"552","FR3T058","Prunus avium","4/21/2012","Sweet_cherry_CRS_phenotyping_2012"
"553","FR42T001","Prunus avium","4/20/2011","Sweet_cherry_CRS_phenotyping_2011"
"554","FR42T003","Prunus avium","4/15/2012","Sweet_cherry_CRS_phenotyping_2012"
"555","FR42T005","Prunus avium","4/16/2012","Sweet_cherry_CRS_phenotyping_2012"
"556","FR42T007","Prunus avium","4/19/2012","Sweet_cherry_CRS_phenotyping_2012"
"557","FR42T045","Prunus avium","4/25/2012","Sweet_cherry_CRS_phenotyping_2012"
"558","FR42T048","Prunus avium","4/19/2011","Sweet_cherry_CRS_phenotyping_2011"
"559","FR42T048","Prunus avium","4/20/2012","Sweet_cherry_CRS_phenotyping_2012"
"560","FR47T058","Prunus avium","4/19/2012","Sweet_cherry_CRS_phenotyping_2012"
"561","FR47T059","Prunus avium","4/19/2012","Sweet_cherry_CRS_phenotyping_2012"
"562","FR5T019","Prunus avium","4/19/2011","Sweet_cherry_CRS_phenotyping_2011"
"563","FR5T019","Prunus avium","4/20/2012","Sweet_cherry_CRS_phenotyping_2012"
"564","FR5T021","Prunus avium","4/18/2011","Sweet_cherry_CRS_phenotyping_2011"
"565","FR5T021","Prunus avium","4/19/2012","Sweet_cherry_CRS_phenotyping_2012"
"566","FR5T025","Prunus avium","4/14/2011","Sweet_cherry_CRS_phenotyping_2011"
"567","FR5T025","Prunus avium","4/17/2012","Sweet_cherry_CRS_phenotyping_2012"
"568","FR8T002","Prunus avium","4/13/2011","Sweet_cherry_CRS_phenotyping_2011"
"569","FR8T002","Prunus avium","4/17/2012","Sweet_cherry_CRS_phenotyping_2012"
"570","FR8T003","Prunus avium","4/15/2011","Sweet_cherry_CRS_phenotyping_2011"
"571","FR8T003","Prunus avium","4/18/2012","Sweet_cherry_CRS_phenotyping_2012"
"572","FR8T004","Prunus avium","4/17/2012","Sweet_cherry_CRS_phenotyping_2012"
"573","FR8T005","Prunus avium","4/19/2012","Sweet_cherry_CRS_phenotyping_2012"
"574","FR8T006","Prunus avium","4/18/2012","Sweet_cherry_CRS_phenotyping_2012"
"575","FR8T007","Prunus avium","4/18/2012","Sweet_cherry_CRS_phenotyping_2012"
"576","FR8T010","Prunus avium","4/21/2012","Sweet_cherry_CRS_phenotyping_2012"
"577","FR8T011","Prunus avium","4/14/2011","Sweet_cherry_CRS_phenotyping_2011"
"578","FR8T011","Prunus avium","4/18/2012","Sweet_cherry_CRS_phenotyping_2012"
"579","FR8T047","Prunus avium","4/20/2012","Sweet_cherry_CRS_phenotyping_2012"
"580","FR8T053","Prunus avium","4/22/2012","Sweet_cherry_CRS_phenotyping_2012"
"581","FR8T057","Prunus avium","4/21/2012","Sweet_cherry_CRS_phenotyping_2012"
"582","FR8T057","Prunus avium","4/22/2011","Sweet_cherry_CRS_phenotyping_2011"
"583","FR9T032","Prunus avium","4/15/2011","Sweet_cherry_CRS_phenotyping_2011"
"584","FR9T032","Prunus avium","4/20/2012","Sweet_cherry_CRS_phenotyping_2012"
"585","FR9T033","Prunus avium","4/12/2012","Sweet_cherry_CRS_phenotyping_2012"
"586","FR9T033","Prunus avium","4/13/2011","Sweet_cherry_CRS_phenotyping_2011"
"587","FR9T034","Prunus avium","4/14/2011","Sweet_cherry_CRS_phenotyping_2011"
"588","FR9T034","Prunus avium","4/15/2012","Sweet_cherry_CRS_phenotyping_2012"
"589","FR9T083","Prunus avium","4/20/2011","Sweet_cherry_CRS_phenotyping_2011"
"590","FR9T083","Prunus avium","4/23/2012","Sweet_cherry_CRS_phenotyping_2012"
"591","FR9T084","Prunus avium","4/18/2011","Sweet_cherry_CRS_phenotyping_2011"
"592","FR9T084","Prunus avium","4/21/2012","Sweet_cherry_CRS_phenotyping_2012"
"593","FR9T085","Prunus avium","4/17/2011","Sweet_cherry_CRS_phenotyping_2011"
"594","FR9T085","Prunus avium","4/18/2012","Sweet_cherry_CRS_phenotyping_2012"
"595","FR9T086","Prunus avium","4/19/2011","Sweet_cherry_CRS_phenotyping_2011"
"596","FR9T086","Prunus avium","4/20/2012","Sweet_cherry_CRS_phenotyping_2012"
"597","FR9T087","Prunus avium","4/18/2011","Sweet_cherry_CRS_phenotyping_2011"
"598","FR9T087","Prunus avium","4/20/2012","Sweet_cherry_CRS_phenotyping_2012"
"599","FR9T096","Prunus avium","4/22/2012","Sweet_cherry_CRS_phenotyping_2012"
"600","FR9T097","Prunus avium","4/17/2011","Sweet_cherry_CRS_phenotyping_2011"
"601","FR9T097","Prunus avium","4/19/2012","Sweet_cherry_CRS_phenotyping_2012"
"602","FR9T098","Prunus avium","4/20/2011","Sweet_cherry_CRS_phenotyping_2011"
"603","FR9T098","Prunus avium","4/20/2012","Sweet_cherry_CRS_phenotyping_2012"
"604","Unk10-Sdlg","Prunus avium","4/17/2011","Sweet_cherry_CRS_phenotyping_2011"
"605","Unk10-Sdlg","Prunus avium","4/21/2012","Sweet_cherry_CRS_phenotyping_2012"
"606","Unk11-Sdlg","Prunus avium","4/13/2011","Sweet_cherry_CRS_phenotyping_2011"
"607","Unk11-Sdlg","Prunus avium","4/18/2012","Sweet_cherry_CRS_phenotyping_2012"
"608","Unk12-Sdlg","Prunus avium","4/24/2012","Sweet_cherry_CRS_phenotyping_2012"
"609","Unk14-Sdlg","Prunus avium","4/19/2012","Sweet_cherry_CRS_phenotyping_2012"
"610","Unk14-Sdlg","Prunus avium","4/20/2011","Sweet_cherry_CRS_phenotyping_2011"
"611","Unk15-Sdlg","Prunus avium","4/23/2012","Sweet_cherry_CRS_phenotyping_2012"
"612","Unk15-Sdlg","Prunus avium","4/26/2011","Sweet_cherry_CRS_phenotyping_2011"
"613","Unk16-Sdlg","Prunus avium","4/18/2011","Sweet_cherry_CRS_phenotyping_2011"
"614","Unk16-Sdlg","Prunus avium","4/18/2012","Sweet_cherry_CRS_phenotyping_2012"
"615","Unk1-Sdlg","Prunus avium","4/23/2012","Sweet_cherry_CRS_phenotyping_2012"
"616","Unk23-Sdlg","Prunus avium","4/21/2012","Sweet_cherry_CRS_phenotyping_2012"
"617","Unk25-Sdlg","Prunus avium","4/19/2011","Sweet_cherry_CRS_phenotyping_2011"
"618","Unk25-Sdlg","Prunus avium","4/23/2012","Sweet_cherry_CRS_phenotyping_2012"
"619","Unk6-Sdlg","Prunus avium","4/21/2012","Sweet_cherry_CRS_phenotyping_2012"
"620","Unk9-Sdlg","Prunus avium","4/17/2012","Sweet_cherry_CRS_phenotyping_2012"
"621","Emperor Francis","Prunus avium","4/18/2012","Sweet_cherry_CRS_phenotyping_2012"
"622","Emperor Francis","Prunus avium","4/19/2011","Sweet_cherry_CRS_phenotyping_2011"
"623","Black Republican","Prunus avium","4/17/2012","Sweet_cherry_CRS_phenotyping_2012"
"624","Black Republican","Prunus avium","4/19/2011","Sweet_cherry_CRS_phenotyping_2011"
"625","Krupnoplodnaya","Prunus avium","4/18/2012","Sweet_cherry_CRS_phenotyping_2012"
"626","Venus","Prunus avium","4/17/2012","Sweet_cherry_CRS_phenotyping_2012"
"627","Moreau","Prunus avium","4/18/2012","Sweet_cherry_CRS_phenotyping_2012"
"628","Index","Prunus avium","3/29/2010","Sweet_cherry_CRS_phenotyping_2010"
"629","Index","Prunus avium","4/14/2011","Sweet_cherry_CRS_phenotyping_2011"
"630","Index","Prunus avium","4/14/2012","Sweet_cherry_CRS_phenotyping_2012"
"631","Sunburst","Prunus avium","4/22/2012","Sweet_cherry_CRS_phenotyping_2012"
