"#","Germplasm","Species","Bloom_Time","Dataset"
"66","FR12T081","Prunus avium","170.75","Sweet_cherry_CRS_phenotyping_2012"
"67","FR28T002","Prunus avium","202.94","Sweet_cherry_CRS_phenotyping_2012"
"68","FR1T036","Prunus avium","184.83","Sweet_cherry_CRS_phenotyping_2011"
"69","FR1T036","Prunus avium","217","Sweet_cherry_CRS_phenotyping_2012"
"70","FR1T074","Prunus avium","165.36","Sweet_cherry_CRS_phenotyping_2011"
"71","FR1T074","Prunus avium","191.08","Sweet_cherry_CRS_phenotyping_2010"
"72","FR1T074","Prunus avium","192.19","Sweet_cherry_CRS_phenotyping_2012"
"73","FR2T063","Prunus avium","192.19","Sweet_cherry_CRS_phenotyping_2012"
"74","FR2T030","Prunus avium","165.36","Sweet_cherry_CRS_phenotyping_2011"
"75","FR2T030","Prunus avium","178.25","Sweet_cherry_CRS_phenotyping_2012"
"76","FR2T030","Prunus avium","191.94","Sweet_cherry_CRS_phenotyping_2010"
"77","FR14T012","Prunus avium","178.25","Sweet_cherry_CRS_phenotyping_2012"
"78","FR3T070","Prunus avium","167.06","Sweet_cherry_CRS_phenotyping_2011"
"79","FR3T070","Prunus avium","191.94","Sweet_cherry_CRS_phenotyping_2010"
"80","FR3T070","Prunus avium","202.94","Sweet_cherry_CRS_phenotyping_2012"
"81","FR1T035","Prunus avium","187.92","Sweet_cherry_CRS_phenotyping_2011"
"82","FR1T035","Prunus avium","195.33","Sweet_cherry_CRS_phenotyping_2010"
"83","FR1T035","Prunus avium","233.25","Sweet_cherry_CRS_phenotyping_2012"
"84","FR1T066","Prunus avium","180.28","Sweet_cherry_CRS_phenotyping_2011"
"85","FR1T066","Prunus avium","195.33","Sweet_cherry_CRS_phenotyping_2010"
"86","FR1T066","Prunus avium","217","Sweet_cherry_CRS_phenotyping_2012"
"87","FR1T069","Prunus avium","162.86","Sweet_cherry_CRS_phenotyping_2011"
"88","FR1T069","Prunus avium","172.72","Sweet_cherry_CRS_phenotyping_2012"
"89","FR1T069","Prunus avium","191.94","Sweet_cherry_CRS_phenotyping_2010"
"90","FR2T058","Prunus avium","165.36","Sweet_cherry_CRS_phenotyping_2011"
"91","FR2T058","Prunus avium","178.25","Sweet_cherry_CRS_phenotyping_2012"
"92","FR2T058","Prunus avium","191","Sweet_cherry_CRS_phenotyping_2010"
"93","FR14T100","Prunus avium","155.08","Sweet_cherry_CRS_phenotyping_2011"
"94","FR14T100","Prunus avium","178.25","Sweet_cherry_CRS_phenotyping_2012"
"95","FR21T040","Prunus avium","217","Sweet_cherry_CRS_phenotyping_2012"
"96","FR31T016","Prunus avium","246.19","Sweet_cherry_CRS_phenotyping_2012"
"97","FR23T097","Prunus avium","165.67","Sweet_cherry_CRS_phenotyping_2012"
"98","FR27T018","Prunus avium","167.06","Sweet_cherry_CRS_phenotyping_2011"
"99","FR27T018","Prunus avium","202.94","Sweet_cherry_CRS_phenotyping_2012"
"100","FR28T001","Prunus avium","202.94","Sweet_cherry_CRS_phenotyping_2012"
"101","FR28T100","Prunus avium","163.61","Sweet_cherry_CRS_phenotyping_2011"
"102","FR28T100","Prunus avium","181.58","Sweet_cherry_CRS_phenotyping_2012"
"103","FR28T101","Prunus avium","165.36","Sweet_cherry_CRS_phenotyping_2011"
"104","FR28T101","Prunus avium","181.58","Sweet_cherry_CRS_phenotyping_2012"
"105","FR28T102","Prunus avium","170.75","Sweet_cherry_CRS_phenotyping_2012"
"106","FR28T104","Prunus avium","163.61","Sweet_cherry_CRS_phenotyping_2011"
"107","FR28T104","Prunus avium","170.75","Sweet_cherry_CRS_phenotyping_2012"
"108","FR28T105","Prunus avium","155.08","Sweet_cherry_CRS_phenotyping_2011"
"109","FR28T105","Prunus avium","178.25","Sweet_cherry_CRS_phenotyping_2012"
"110","FR28T106","Prunus avium","162.86","Sweet_cherry_CRS_phenotyping_2011"
"111","FR28T106","Prunus avium","192.19","Sweet_cherry_CRS_phenotyping_2012"
"112","FR28T107","Prunus avium","161.72","Sweet_cherry_CRS_phenotyping_2011"
"113","FR28T107","Prunus avium","172.72","Sweet_cherry_CRS_phenotyping_2012"
"114","FR28T108","Prunus avium","163.61","Sweet_cherry_CRS_phenotyping_2011"
"115","FR28T108","Prunus avium","172.72","Sweet_cherry_CRS_phenotyping_2012"
"116","FR29T074","Prunus avium","202.94","Sweet_cherry_CRS_phenotyping_2012"
"117","FR29T075","Prunus avium","160.83","Sweet_cherry_CRS_phenotyping_2011"
"118","FR29T075","Prunus avium","178.25","Sweet_cherry_CRS_phenotyping_2012"
"119","FR29T076","Prunus avium","217","Sweet_cherry_CRS_phenotyping_2012"
"120","FR29T077","Prunus avium","163.61","Sweet_cherry_CRS_phenotyping_2011"
"121","FR29T077","Prunus avium","202.94","Sweet_cherry_CRS_phenotyping_2012"
"122","FR10T098","Prunus avium","202.94","Sweet_cherry_CRS_phenotyping_2012"
"123","FR10T099","Prunus avium","187.92","Sweet_cherry_CRS_phenotyping_2011"
"124","FR10T099","Prunus avium","246.19","Sweet_cherry_CRS_phenotyping_2012"
"125","FR10T101","Prunus avium","155.08","Sweet_cherry_CRS_phenotyping_2011"
"126","FR10T101","Prunus avium","202.94","Sweet_cherry_CRS_phenotyping_2012"
"127","FR11T015","Prunus avium","165.36","Sweet_cherry_CRS_phenotyping_2011"
"128","FR11T015","Prunus avium","202.94","Sweet_cherry_CRS_phenotyping_2012"
"129","FR11T016","Prunus avium","184.83","Sweet_cherry_CRS_phenotyping_2011"
"130","FR11T016","Prunus avium","217","Sweet_cherry_CRS_phenotyping_2012"
"131","FR11T018","Prunus avium","217","Sweet_cherry_CRS_phenotyping_2012"
"132","FR11T019","Prunus avium","162.86","Sweet_cherry_CRS_phenotyping_2011"
"133","FR11T019","Prunus avium","192.19","Sweet_cherry_CRS_phenotyping_2012"
"134","FR11T025","Prunus avium","162.86","Sweet_cherry_CRS_phenotyping_2011"
"135","FR11T025","Prunus avium","192.19","Sweet_cherry_CRS_phenotyping_2012"
"136","FR11T026","Prunus avium","233.25","Sweet_cherry_CRS_phenotyping_2012"
"137","FR11T027","Prunus avium","160.83","Sweet_cherry_CRS_phenotyping_2011"
"138","FR11T027","Prunus avium","192.19","Sweet_cherry_CRS_phenotyping_2012"
"139","FR11T028","Prunus avium","165.36","Sweet_cherry_CRS_phenotyping_2011"
"140","FR11T028","Prunus avium","192.19","Sweet_cherry_CRS_phenotyping_2012"
"141","FR11T029","Prunus avium","160.83","Sweet_cherry_CRS_phenotyping_2011"
"142","FR11T029","Prunus avium","202.94","Sweet_cherry_CRS_phenotyping_2012"
"143","FR11T030","Prunus avium","217","Sweet_cherry_CRS_phenotyping_2012"
"144","FR11T032","Prunus avium","155.08","Sweet_cherry_CRS_phenotyping_2011"
"145","FR11T032","Prunus avium","192.19","Sweet_cherry_CRS_phenotyping_2012"
"146","FR12T001","Prunus avium","152.33","Sweet_cherry_CRS_phenotyping_2011"
"147","FR12T001","Prunus avium","181.58","Sweet_cherry_CRS_phenotyping_2012"
"148","FR12T003","Prunus avium","217","Sweet_cherry_CRS_phenotyping_2012"
"149","FR12T004","Prunus avium","162.86","Sweet_cherry_CRS_phenotyping_2011"
"150","FR12T004","Prunus avium","217","Sweet_cherry_CRS_phenotyping_2012"
"151","FR12T006","Prunus avium","152.33","Sweet_cherry_CRS_phenotyping_2011"
"152","FR12T006","Prunus avium","158.97","Sweet_cherry_CRS_phenotyping_2012"
"153","FR12T009","Prunus avium","155.08","Sweet_cherry_CRS_phenotyping_2011"
"154","FR12T009","Prunus avium","178.25","Sweet_cherry_CRS_phenotyping_2012"
"155","FR12T011","Prunus avium","172.72","Sweet_cherry_CRS_phenotyping_2012"
"156","FR12T012","Prunus avium","161.72","Sweet_cherry_CRS_phenotyping_2011"
"157","FR12T012","Prunus avium","192.19","Sweet_cherry_CRS_phenotyping_2012"
"158","FR12T056","Prunus avium","155.08","Sweet_cherry_CRS_phenotyping_2011"
"159","FR12T056","Prunus avium","172.72","Sweet_cherry_CRS_phenotyping_2012"
"160","FR12T057","Prunus avium","172.72","Sweet_cherry_CRS_phenotyping_2012"
"161","FR12T058","Prunus avium","152.33","Sweet_cherry_CRS_phenotyping_2011"
"162","FR12T058","Prunus avium","172.72","Sweet_cherry_CRS_phenotyping_2012"
"163","FR12T063","Prunus avium","152.33","Sweet_cherry_CRS_phenotyping_2011"
"164","FR12T063","Prunus avium","172.72","Sweet_cherry_CRS_phenotyping_2012"
"165","FR12T066","Prunus avium","163.61","Sweet_cherry_CRS_phenotyping_2011"
"166","FR12T066","Prunus avium","192.19","Sweet_cherry_CRS_phenotyping_2012"
"167","FR12T067","Prunus avium","152.33","Sweet_cherry_CRS_phenotyping_2011"
"168","FR12T067","Prunus avium","158.97","Sweet_cherry_CRS_phenotyping_2012"
"169","FR12T068","Prunus avium","155.08","Sweet_cherry_CRS_phenotyping_2011"
"170","FR12T068","Prunus avium","178.25","Sweet_cherry_CRS_phenotyping_2012"
"171","FR12T069","Prunus avium","178.25","Sweet_cherry_CRS_phenotyping_2012"
"172","FR12T071","Prunus avium","152.33","Sweet_cherry_CRS_phenotyping_2011"
"173","FR12T071","Prunus avium","165.67","Sweet_cherry_CRS_phenotyping_2012"
"174","FR12T072","Prunus avium","165.36","Sweet_cherry_CRS_phenotyping_2011"
"175","FR12T072","Prunus avium","217","Sweet_cherry_CRS_phenotyping_2012"
"176","FR12T073","Prunus avium","152.33","Sweet_cherry_CRS_phenotyping_2011"
"177","FR12T073","Prunus avium","158.97","Sweet_cherry_CRS_phenotyping_2012"
