"#","Germplasm","Species","Pit_Lh","Dataset"
"66","FR1T068","Prunus avium","12.1","Sweet_cherry_CRS_phenotyping_2010"
"67","FR1T068","Prunus avium","12.14","Sweet_cherry_CRS_phenotyping_2012"
"68","FR1T068","Prunus avium","12.15","Sweet_cherry_CRS_phenotyping_2011"
"69","FR12T078","Prunus avium","10.7","Sweet_cherry_CRS_phenotyping_2011"
"70","FR12T078","Prunus avium","11.66","Sweet_cherry_CRS_phenotyping_2012"
"71","FR8T012","Prunus avium","10.76","Sweet_cherry_CRS_phenotyping_2011"
"72","FR8T012","Prunus avium","11.06","Sweet_cherry_CRS_phenotyping_2012"
"73","FR12T081","Prunus avium","12.2","Sweet_cherry_CRS_phenotyping_2011"
"74","FR12T081","Prunus avium","12.23","Sweet_cherry_CRS_phenotyping_2012"
"75","FR28T002","Prunus avium","10.36","Sweet_cherry_CRS_phenotyping_2012"
"76","FR1T036","Prunus avium","11.43","Sweet_cherry_CRS_phenotyping_2012"
"77","FR1T036","Prunus avium","11.67","Sweet_cherry_CRS_phenotyping_2011"
"78","FR1T036","Prunus avium","12.41","Sweet_cherry_CRS_phenotyping_2010"
"79","FR1T074","Prunus avium","10.73","Sweet_cherry_CRS_phenotyping_2012"
"80","FR1T074","Prunus avium","11.42","Sweet_cherry_CRS_phenotyping_2011"
"81","FR1T074","Prunus avium","11.65","Sweet_cherry_CRS_phenotyping_2010"
"82","FR2T063","Prunus avium","11.63","Sweet_cherry_CRS_phenotyping_2012"
"83","FR2T030","Prunus avium","10.84","Sweet_cherry_CRS_phenotyping_2012"
"84","FR2T030","Prunus avium","10.85","Sweet_cherry_CRS_phenotyping_2010"
"85","FR2T030","Prunus avium","11.24","Sweet_cherry_CRS_phenotyping_2011"
"86","FR14T012","Prunus avium","9.49","Sweet_cherry_CRS_phenotyping_2012"
"87","FR3T070","Prunus avium","11.66","Sweet_cherry_CRS_phenotyping_2012"
"88","FR3T070","Prunus avium","11.76","Sweet_cherry_CRS_phenotyping_2010"
"89","FR3T070","Prunus avium","12.39","Sweet_cherry_CRS_phenotyping_2011"
"90","FR1T035","Prunus avium","10.24","Sweet_cherry_CRS_phenotyping_2012"
"91","FR1T035","Prunus avium","10.6","Sweet_cherry_CRS_phenotyping_2011"
"92","FR1T035","Prunus avium","10.65","Sweet_cherry_CRS_phenotyping_2010"
"93","FR1T066","Prunus avium","11.52","Sweet_cherry_CRS_phenotyping_2010"
"94","FR1T066","Prunus avium","11.87","Sweet_cherry_CRS_phenotyping_2011"
"95","FR1T066","Prunus avium","12.25","Sweet_cherry_CRS_phenotyping_2012"
"96","FR1T069","Prunus avium","11.16","Sweet_cherry_CRS_phenotyping_2010"
"97","FR1T069","Prunus avium","11.32","Sweet_cherry_CRS_phenotyping_2012"
"98","FR1T069","Prunus avium","11.67","Sweet_cherry_CRS_phenotyping_2011"
"99","FR2T058","Prunus avium","10.29","Sweet_cherry_CRS_phenotyping_2012"
"100","FR2T058","Prunus avium","11.36","Sweet_cherry_CRS_phenotyping_2010"
"101","FR2T058","Prunus avium","11.42","Sweet_cherry_CRS_phenotyping_2011"
"102","FR14T100","Prunus avium","10.09","Sweet_cherry_CRS_phenotyping_2012"
"103","FR14T100","Prunus avium","10.38","Sweet_cherry_CRS_phenotyping_2011"
"104","FR20T045","Prunus avium","11.75","Sweet_cherry_CRS_phenotyping_2012"
"105","FR21T040","Prunus avium","11.18","Sweet_cherry_CRS_phenotyping_2011"
"106","FR21T040","Prunus avium","11.51","Sweet_cherry_CRS_phenotyping_2012"
"107","FR31T016","Prunus avium","11.43","Sweet_cherry_CRS_phenotyping_2012"
"108","FR23T097","Prunus avium","9.37","Sweet_cherry_CRS_phenotyping_2012"
"109","FR27T018","Prunus avium","8.56","Sweet_cherry_CRS_phenotyping_2011"
