"#","Germplasm","Species","SSC","Dataset"
"326","FR22T002","Prunus avium","17.4","Sweet_cherry_CRS_phenotyping_2011"
"327","FR22T002","Prunus avium","22.18","Sweet_cherry_CRS_phenotyping_2012"
"328","FR22T003","Prunus avium","22.82","Sweet_cherry_CRS_phenotyping_2012"
"329","FR22T004","Prunus avium","15.3","Sweet_cherry_CRS_phenotyping_2011"
"330","FR22T004","Prunus avium","20.04","Sweet_cherry_CRS_phenotyping_2012"
"331","FR22T006","Prunus avium","26.95","Sweet_cherry_CRS_phenotyping_2012"
"332","FR22T007","Prunus avium","24.2","Sweet_cherry_CRS_phenotyping_2012"
"333","FR23T065","Prunus avium","27.04","Sweet_cherry_CRS_phenotyping_2012"
"334","FR23T067","Prunus avium","25.02","Sweet_cherry_CRS_phenotyping_2012"
"335","FR23T068","Prunus avium","25.18","Sweet_cherry_CRS_phenotyping_2012"
"336","FR23T069","Prunus avium","24.12","Sweet_cherry_CRS_phenotyping_2012"
"337","FR23T072","Prunus avium","27.36","Sweet_cherry_CRS_phenotyping_2012"
"338","FR23T089","Prunus avium","26.88","Sweet_cherry_CRS_phenotyping_2012"
"339","FR23T090","Prunus avium","23.36","Sweet_cherry_CRS_phenotyping_2012"
"340","FR23T090","Prunus avium","29.7","Sweet_cherry_CRS_phenotyping_2011"
"341","FR23T091","Prunus avium","24.64","Sweet_cherry_CRS_phenotyping_2012"
"342","FR23T095","Prunus avium","26.78","Sweet_cherry_CRS_phenotyping_2012"
"343","FR23T113","Prunus avium","28.58","Sweet_cherry_CRS_phenotyping_2012"
"344","FR23T116","Prunus avium","31.7","Sweet_cherry_CRS_phenotyping_2012"
"345","FR23T119","Prunus avium","28.9","Sweet_cherry_CRS_phenotyping_2011"
"346","FR23T120","Prunus avium","27.5","Sweet_cherry_CRS_phenotyping_2011"
"347","FR23T120","Prunus avium","28.14","Sweet_cherry_CRS_phenotyping_2012"
"348","FR23T127","Prunus avium","20.13","Sweet_cherry_CRS_phenotyping_2012"
"349","FR23T128","Prunus avium","25.44","Sweet_cherry_CRS_phenotyping_2012"
"350","FR23T129","Prunus avium","17.27","Sweet_cherry_CRS_phenotyping_2011"
"351","FR23T129","Prunus avium","22.98","Sweet_cherry_CRS_phenotyping_2012"
"352","FR23T130","Prunus avium","19.8","Sweet_cherry_CRS_phenotyping_2011"
"353","FR23T130","Prunus avium","23.1","Sweet_cherry_CRS_phenotyping_2012"
"354","FR23T131","Prunus avium","21.17","Sweet_cherry_CRS_phenotyping_2011"
"355","FR23T131","Prunus avium","26.16","Sweet_cherry_CRS_phenotyping_2012"
"356","FR24T069","Prunus avium","29.28","Sweet_cherry_CRS_phenotyping_2012"
"357","FR24T072","Prunus avium","32.72","Sweet_cherry_CRS_phenotyping_2012"
"358","FR24T077","Prunus avium","25.5","Sweet_cherry_CRS_phenotyping_2011"
"359","FR25T081","Prunus avium","18.8","Sweet_cherry_CRS_phenotyping_2011"
"360","FR25T081","Prunus avium","25.33","Sweet_cherry_CRS_phenotyping_2012"
"361","FR25T084","Prunus avium","23.43","Sweet_cherry_CRS_phenotyping_2012"
"362","FR25T086","Prunus avium","20.3","Sweet_cherry_CRS_phenotyping_2012"
"363","FR25T090","Prunus avium","19.9","Sweet_cherry_CRS_phenotyping_2011"
"364","FR25T090","Prunus avium","24.8","Sweet_cherry_CRS_phenotyping_2012"
"365","FR26T030","Prunus avium","19.48","Sweet_cherry_CRS_phenotyping_2012"
"366","FR26T031","Prunus avium","23.3","Sweet_cherry_CRS_phenotyping_2012"
"367","FR26T033","Prunus avium","21.2","Sweet_cherry_CRS_phenotyping_2011"
"368","FR26T033","Prunus avium","21.24","Sweet_cherry_CRS_phenotyping_2012"
"369","FR26T034","Prunus avium","20","Sweet_cherry_CRS_phenotyping_2011"
"370","FR26T034","Prunus avium","24.44","Sweet_cherry_CRS_phenotyping_2012"
"371","FR26T036","Prunus avium","16.5","Sweet_cherry_CRS_phenotyping_2011"
"372","FR26T036","Prunus avium","18.62","Sweet_cherry_CRS_phenotyping_2012"
"373","FR26T037","Prunus avium","17.5","Sweet_cherry_CRS_phenotyping_2011"
"374","FR26T037","Prunus avium","19.06","Sweet_cherry_CRS_phenotyping_2012"
"375","FR26T038","Prunus avium","16.53","Sweet_cherry_CRS_phenotyping_2011"
"376","FR26T038","Prunus avium","22.78","Sweet_cherry_CRS_phenotyping_2012"
"377","FR26T040","Prunus avium","24.77","Sweet_cherry_CRS_phenotyping_2012"
"378","FR27T001","Prunus avium","20.7","Sweet_cherry_CRS_phenotyping_2011"
"379","FR27T006","Prunus avium","36.5","Sweet_cherry_CRS_phenotyping_2012"
"380","FR27T007","Prunus avium","27.02","Sweet_cherry_CRS_phenotyping_2012"
"381","FR27T008","Prunus avium","19.58","Sweet_cherry_CRS_phenotyping_2012"
"382","FR27T009","Prunus avium","19.6","Sweet_cherry_CRS_phenotyping_2011"
"383","FR27T010","Prunus avium","24.13","Sweet_cherry_CRS_phenotyping_2012"
"384","FR27T012","Prunus avium","19.7","Sweet_cherry_CRS_phenotyping_2011"
"385","FR27T012","Prunus avium","22.52","Sweet_cherry_CRS_phenotyping_2012"
"386","FR27T013","Prunus avium","20.63","Sweet_cherry_CRS_phenotyping_2011"
"387","FR27T013","Prunus avium","21.52","Sweet_cherry_CRS_phenotyping_2012"
"388","FR27T014","Prunus avium","21.86","Sweet_cherry_CRS_phenotyping_2012"
"389","FR27T014","Prunus avium","23","Sweet_cherry_CRS_phenotyping_2011"
"390","FR27T015","Prunus avium","21.22","Sweet_cherry_CRS_phenotyping_2012"
"391","FR27T015","Prunus avium","32.2","Sweet_cherry_CRS_phenotyping_2011"
"392","FR27T017","Prunus avium","23.5","Sweet_cherry_CRS_phenotyping_2012"
"393","FR27T050","Prunus avium","17.8","Sweet_cherry_CRS_phenotyping_2012"
"394","FR27T051","Prunus avium","29.9","Sweet_cherry_CRS_phenotyping_2012"
"395","FR27T052","Prunus avium","15.67","Sweet_cherry_CRS_phenotyping_2011"
"396","FR27T052","Prunus avium","19.56","Sweet_cherry_CRS_phenotyping_2012"
"397","FR27T053","Prunus avium","19.93","Sweet_cherry_CRS_phenotyping_2011"
"398","FR27T053","Prunus avium","23.68","Sweet_cherry_CRS_phenotyping_2012"
"399","FR27T054","Prunus avium","26.02","Sweet_cherry_CRS_phenotyping_2012"
"400","FR27T054","Prunus avium","29.6","Sweet_cherry_CRS_phenotyping_2011"
"401","FR27T094","Prunus avium","22.3","Sweet_cherry_CRS_phenotyping_2011"
"402","FR27T094","Prunus avium","22.86","Sweet_cherry_CRS_phenotyping_2012"
"403","FR27T096","Prunus avium","22.84","Sweet_cherry_CRS_phenotyping_2012"
"404","FR27T096","Prunus avium","25.8","Sweet_cherry_CRS_phenotyping_2011"
"405","FR27T097","Prunus avium","24","Sweet_cherry_CRS_phenotyping_2011"
"406","FR27T097","Prunus avium","26.44","Sweet_cherry_CRS_phenotyping_2012"
"407","FR27T099","Prunus avium","25.15","Sweet_cherry_CRS_phenotyping_2011"
"408","FR27T099","Prunus avium","26.7","Sweet_cherry_CRS_phenotyping_2012"
"409","FR27T102","Prunus avium","21.56","Sweet_cherry_CRS_phenotyping_2012"
"410","FR28T099","Prunus avium","22.72","Sweet_cherry_CRS_phenotyping_2012"
"411","FR29T073","Prunus avium","26.2","Sweet_cherry_CRS_phenotyping_2011"
"412","FR29T073","Prunus avium","27.52","Sweet_cherry_CRS_phenotyping_2012"
"413","FR29T117","Prunus avium","25.14","Sweet_cherry_CRS_phenotyping_2012"
"414","FR29T118","Prunus avium","20.62","Sweet_cherry_CRS_phenotyping_2012"
"415","FR29T119","Prunus avium","21.6","Sweet_cherry_CRS_phenotyping_2012"
"416","FR29T120","Prunus avium","19.67","Sweet_cherry_CRS_phenotyping_2011"
"417","FR29T120","Prunus avium","25.54","Sweet_cherry_CRS_phenotyping_2012"
"418","FR29T122","Prunus avium","20","Sweet_cherry_CRS_phenotyping_2011"
"419","FR29T122","Prunus avium","21.92","Sweet_cherry_CRS_phenotyping_2012"
"420","FR29T124","Prunus avium","24.85","Sweet_cherry_CRS_phenotyping_2011"
"421","FR29T124","Prunus avium","25.26","Sweet_cherry_CRS_phenotyping_2012"
"422","FR29T126","Prunus avium","23.64","Sweet_cherry_CRS_phenotyping_2012"
"423","FR2T035","Prunus avium","20.25","Sweet_cherry_CRS_phenotyping_2010"
"424","FR2T035","Prunus avium","20.63","Sweet_cherry_CRS_phenotyping_2011"
"425","FR2T035","Prunus avium","23.62","Sweet_cherry_CRS_phenotyping_2012"
"426","FR2T037","Prunus avium","22.35","Sweet_cherry_CRS_phenotyping_2010"
"427","FR2T037","Prunus avium","22.82","Sweet_cherry_CRS_phenotyping_2012"
"428","FR2T037","Prunus avium","27.6","Sweet_cherry_CRS_phenotyping_2011"
"429","FR2T038","Prunus avium","16.1","Sweet_cherry_CRS_phenotyping_2011"
"430","FR2T038","Prunus avium","18.44","Sweet_cherry_CRS_phenotyping_2012"
"431","FR2T038","Prunus avium","18.45","Sweet_cherry_CRS_phenotyping_2010"
"432","FR2T040","Prunus avium","20.3","Sweet_cherry_CRS_phenotyping_2011"
"433","FR2T040","Prunus avium","21.47","Sweet_cherry_CRS_phenotyping_2010"
"434","FR2T040","Prunus avium","23.3","Sweet_cherry_CRS_phenotyping_2012"
"435","FR2T045","Prunus avium","15.4","Sweet_cherry_CRS_phenotyping_2011"
"436","FR2T045","Prunus avium","18.06","Sweet_cherry_CRS_phenotyping_2012"
"437","FR2T045","Prunus avium","21.73","Sweet_cherry_CRS_phenotyping_2010"
"438","FR2T046","Prunus avium","18.67","Sweet_cherry_CRS_phenotyping_2010"
"439","FR2T046","Prunus avium","21.4","Sweet_cherry_CRS_phenotyping_2011"
"440","FR2T046","Prunus avium","22.76","Sweet_cherry_CRS_phenotyping_2012"
"441","FR2T048","Prunus avium","15.03","Sweet_cherry_CRS_phenotyping_2011"
"442","FR2T048","Prunus avium","22.54","Sweet_cherry_CRS_phenotyping_2012"
"443","FR2T049","Prunus avium","19.2","Sweet_cherry_CRS_phenotyping_2011"
"444","FR2T049","Prunus avium","20.47","Sweet_cherry_CRS_phenotyping_2010"
"445","FR2T049","Prunus avium","20.74","Sweet_cherry_CRS_phenotyping_2012"
"446","FR2T050","Prunus avium","16.45","Sweet_cherry_CRS_phenotyping_2011"
"447","FR2T050","Prunus avium","18.9","Sweet_cherry_CRS_phenotyping_2010"
"448","FR2T050","Prunus avium","23.72","Sweet_cherry_CRS_phenotyping_2012"
"449","FR2T054","Prunus avium","19.93","Sweet_cherry_CRS_phenotyping_2011"
"450","FR2T054","Prunus avium","20.78","Sweet_cherry_CRS_phenotyping_2010"
"451","FR2T054","Prunus avium","21.32","Sweet_cherry_CRS_phenotyping_2012"
"452","FR2T057","Prunus avium","15.2","Sweet_cherry_CRS_phenotyping_2011"
"453","FR2T057","Prunus avium","17.57","Sweet_cherry_CRS_phenotyping_2010"
"454","FR2T057","Prunus avium","19.48","Sweet_cherry_CRS_phenotyping_2012"
"455","FR2T079","Prunus avium","19.55","Sweet_cherry_CRS_phenotyping_2011"
"456","FR2T079","Prunus avium","20.7","Sweet_cherry_CRS_phenotyping_2010"
"457","FR2T079","Prunus avium","21.84","Sweet_cherry_CRS_phenotyping_2012"
"458","FR2T080","Prunus avium","21.5","Sweet_cherry_CRS_phenotyping_2012"
"459","FR2T080","Prunus avium","24.25","Sweet_cherry_CRS_phenotyping_2011"
"460","FR2T080","Prunus avium","25.4","Sweet_cherry_CRS_phenotyping_2010"
"461","FR30T099","Prunus avium","16","Sweet_cherry_CRS_phenotyping_2011"
"462","FR30T099","Prunus avium","17.94","Sweet_cherry_CRS_phenotyping_2012"
"463","FR30T100","Prunus avium","17.96","Sweet_cherry_CRS_phenotyping_2012"
"464","FR30T101","Prunus avium","20.84","Sweet_cherry_CRS_phenotyping_2012"
"465","FR30T102","Prunus avium","15.7","Sweet_cherry_CRS_phenotyping_2011"
"466","FR30T102","Prunus avium","22.76","Sweet_cherry_CRS_phenotyping_2012"
"467","FR30T103","Prunus avium","25.18","Sweet_cherry_CRS_phenotyping_2012"
"468","FR30T105","Prunus avium","23.6","Sweet_cherry_CRS_phenotyping_2012"
"469","FR30T106","Prunus avium","15.28","Sweet_cherry_CRS_phenotyping_2011"
"470","FR30T106","Prunus avium","19.26","Sweet_cherry_CRS_phenotyping_2012"
"471","FR30T107","Prunus avium","20.5","Sweet_cherry_CRS_phenotyping_2012"
"472","FR30T108","Prunus avium","17.98","Sweet_cherry_CRS_phenotyping_2012"
"473","FR30T108","Prunus avium","19.1","Sweet_cherry_CRS_phenotyping_2011"
"474","FR30T109","Prunus avium","14.47","Sweet_cherry_CRS_phenotyping_2011"
"475","FR30T109","Prunus avium","17.46","Sweet_cherry_CRS_phenotyping_2012"
"476","FR31T007","Prunus avium","15.83","Sweet_cherry_CRS_phenotyping_2011"
"477","FR31T007","Prunus avium","19.6","Sweet_cherry_CRS_phenotyping_2012"
"478","FR31T008","Prunus avium","18.5","Sweet_cherry_CRS_phenotyping_2012"
"479","FR31T009","Prunus avium","19.96","Sweet_cherry_CRS_phenotyping_2012"
"480","FR31T010","Prunus avium","16.7","Sweet_cherry_CRS_phenotyping_2011"
"481","FR31T010","Prunus avium","27.13","Sweet_cherry_CRS_phenotyping_2012"
"482","FR31T011","Prunus avium","24.58","Sweet_cherry_CRS_phenotyping_2012"
"483","FR31T013","Prunus avium","17.96","Sweet_cherry_CRS_phenotyping_2012"
"484","FR31T014","Prunus avium","28.52","Sweet_cherry_CRS_phenotyping_2012"
"485","FR33T001","Prunus avium","19.58","Sweet_cherry_CRS_phenotyping_2012"
"486","FR33T004","Prunus avium","24.6","Sweet_cherry_CRS_phenotyping_2012"
"487","FR33T004","Prunus avium","25.7","Sweet_cherry_CRS_phenotyping_2011"
"488","FR33T005","Prunus avium","15.85","Sweet_cherry_CRS_phenotyping_2011"
"489","FR33T005","Prunus avium","23.44","Sweet_cherry_CRS_phenotyping_2012"
"490","FR33T006","Prunus avium","19.72","Sweet_cherry_CRS_phenotyping_2012"
"491","FR33T006","Prunus avium","24.3","Sweet_cherry_CRS_phenotyping_2011"
"492","FR33T007","Prunus avium","26.88","Sweet_cherry_CRS_phenotyping_2012"
"493","FR33T008","Prunus avium","20.35","Sweet_cherry_CRS_phenotyping_2011"
"494","FR33T008","Prunus avium","29.8","Sweet_cherry_CRS_phenotyping_2012"
"495","FR33T011","Prunus avium","26.32","Sweet_cherry_CRS_phenotyping_2012"
"496","FR35T101","Prunus avium","24.4","Sweet_cherry_CRS_phenotyping_2011"
"497","FR35T101","Prunus avium","25.56","Sweet_cherry_CRS_phenotyping_2012"
"498","FR35T102","Prunus avium","25.35","Sweet_cherry_CRS_phenotyping_2011"
"499","FR35T102","Prunus avium","30.68","Sweet_cherry_CRS_phenotyping_2012"
"500","FR35T103","Prunus avium","15.95","Sweet_cherry_CRS_phenotyping_2011"
"501","FR35T103","Prunus avium","20.74","Sweet_cherry_CRS_phenotyping_2012"
"502","FR35T104","Prunus avium","25.8","Sweet_cherry_CRS_phenotyping_2011"
"503","FR35T104","Prunus avium","26.22","Sweet_cherry_CRS_phenotyping_2012"
"504","FR35T105","Prunus avium","20.2","Sweet_cherry_CRS_phenotyping_2011"
"505","FR35T105","Prunus avium","26.48","Sweet_cherry_CRS_phenotyping_2012"
"506","FR35T108","Prunus avium","19.7","Sweet_cherry_CRS_phenotyping_2011"
"507","FR35T108","Prunus avium","25.3","Sweet_cherry_CRS_phenotyping_2012"
"508","FR35T110","Prunus avium","15.7","Sweet_cherry_CRS_phenotyping_2011"
"509","FR35T110","Prunus avium","25.48","Sweet_cherry_CRS_phenotyping_2012"
"510","FR38T001","Prunus avium","20.84","Sweet_cherry_CRS_phenotyping_2012"
"511","FR38T002","Prunus avium","21.48","Sweet_cherry_CRS_phenotyping_2012"
"512","FR38T003","Prunus avium","19.77","Sweet_cherry_CRS_phenotyping_2012"
"513","FR38T005","Prunus avium","26.62","Sweet_cherry_CRS_phenotyping_2012"
"514","FR3T002","Prunus avium","18.75","Sweet_cherry_CRS_phenotyping_2010"
"515","FR3T002","Prunus avium","19.45","Sweet_cherry_CRS_phenotyping_2011"
"516","FR3T002","Prunus avium","22.64","Sweet_cherry_CRS_phenotyping_2012"
"517","FR3T003","Prunus avium","18.6","Sweet_cherry_CRS_phenotyping_2011"
"518","FR3T003","Prunus avium","25.32","Sweet_cherry_CRS_phenotyping_2012"
"519","FR3T004","Prunus avium","18.98","Sweet_cherry_CRS_phenotyping_2012"
"520","FR3T004","Prunus avium","21.9","Sweet_cherry_CRS_phenotyping_2010"
"521","FR3T004","Prunus avium","22.46","Sweet_cherry_CRS_phenotyping_2011"
"522","FR3T005","Prunus avium","17.1","Sweet_cherry_CRS_phenotyping_2012"
"523","FR3T007","Prunus avium","16.8","Sweet_cherry_CRS_phenotyping_2011"
"524","FR3T007","Prunus avium","20.04","Sweet_cherry_CRS_phenotyping_2012"
"525","FR3T008","Prunus avium","17.7","Sweet_cherry_CRS_phenotyping_2011"
"526","FR3T008","Prunus avium","19.58","Sweet_cherry_CRS_phenotyping_2012"
"527","FR3T009","Prunus avium","20.55","Sweet_cherry_CRS_phenotyping_2011"
"528","FR3T009","Prunus avium","22.7","Sweet_cherry_CRS_phenotyping_2012"
"529","FR3T011","Prunus avium","19.46","Sweet_cherry_CRS_phenotyping_2012"
"530","FR3T013","Prunus avium","16.15","Sweet_cherry_CRS_phenotyping_2011"
"531","FR3T013","Prunus avium","17.28","Sweet_cherry_CRS_phenotyping_2012"
"532","FR3T014","Prunus avium","15.47","Sweet_cherry_CRS_phenotyping_2011"
"533","FR3T014","Prunus avium","15.6","Sweet_cherry_CRS_phenotyping_2012"
"534","FR3T014","Prunus avium","16.3","Sweet_cherry_CRS_phenotyping_2010"
"535","FR3T015","Prunus avium","17.25","Sweet_cherry_CRS_phenotyping_2011"
"536","FR3T015","Prunus avium","21.96","Sweet_cherry_CRS_phenotyping_2012"
"537","FR3T016","Prunus avium","19","Sweet_cherry_CRS_phenotyping_2011"
"538","FR3T016","Prunus avium","19.85","Sweet_cherry_CRS_phenotyping_2010"
"539","FR3T016","Prunus avium","20.48","Sweet_cherry_CRS_phenotyping_2012"
"540","FR3T017","Prunus avium","27.44","Sweet_cherry_CRS_phenotyping_2012"
"541","FR3T018","Prunus avium","19.28","Sweet_cherry_CRS_phenotyping_2012"
"542","FR3T018","Prunus avium","22.46","Sweet_cherry_CRS_phenotyping_2011"
"543","FR3T018","Prunus avium","23.1","Sweet_cherry_CRS_phenotyping_2010"
"544","FR3T019","Prunus avium","18.22","Sweet_cherry_CRS_phenotyping_2012"
"545","FR3T020","Prunus avium","16.28","Sweet_cherry_CRS_phenotyping_2010"
"546","FR3T020","Prunus avium","16.4","Sweet_cherry_CRS_phenotyping_2011"
"547","FR3T020","Prunus avium","22.74","Sweet_cherry_CRS_phenotyping_2012"
"548","FR3T021","Prunus avium","18.3","Sweet_cherry_CRS_phenotyping_2010"
"549","FR3T021","Prunus avium","20.5","Sweet_cherry_CRS_phenotyping_2011"
"550","FR3T021","Prunus avium","20.66","Sweet_cherry_CRS_phenotyping_2012"
"551","FR3T022","Prunus avium","18.4","Sweet_cherry_CRS_phenotyping_2011"
"552","FR3T022","Prunus avium","22.88","Sweet_cherry_CRS_phenotyping_2012"
"553","FR3T023","Prunus avium","16.6","Sweet_cherry_CRS_phenotyping_2011"
"554","FR3T023","Prunus avium","19.12","Sweet_cherry_CRS_phenotyping_2012"
"555","FR3T025","Prunus avium","15.7","Sweet_cherry_CRS_phenotyping_2010"
"556","FR3T025","Prunus avium","16.65","Sweet_cherry_CRS_phenotyping_2011"
"557","FR3T025","Prunus avium","19.9","Sweet_cherry_CRS_phenotyping_2012"
"558","FR3T026","Prunus avium","17.85","Sweet_cherry_CRS_phenotyping_2011"
"559","FR3T026","Prunus avium","23.34","Sweet_cherry_CRS_phenotyping_2012"
"560","FR3T027","Prunus avium","18.37","Sweet_cherry_CRS_phenotyping_2011"
"561","FR3T027","Prunus avium","21.42","Sweet_cherry_CRS_phenotyping_2012"
"562","FR3T028","Prunus avium","21.08","Sweet_cherry_CRS_phenotyping_2012"
"563","FR3T029","Prunus avium","18.34","Sweet_cherry_CRS_phenotyping_2012"
"564","FR3T029","Prunus avium","19","Sweet_cherry_CRS_phenotyping_2010"
"565","FR3T029","Prunus avium","20.1","Sweet_cherry_CRS_phenotyping_2011"
"566","FR3T030","Prunus avium","19.8","Sweet_cherry_CRS_phenotyping_2011"
"567","FR3T030","Prunus avium","20.1","Sweet_cherry_CRS_phenotyping_2012"
"568","FR3T031","Prunus avium","18.57","Sweet_cherry_CRS_phenotyping_2011"
"569","FR3T031","Prunus avium","20.58","Sweet_cherry_CRS_phenotyping_2012"
"570","FR3T032","Prunus avium","17.43","Sweet_cherry_CRS_phenotyping_2011"
"571","FR3T032","Prunus avium","18.58","Sweet_cherry_CRS_phenotyping_2012"
"572","FR3T033","Prunus avium","19.9","Sweet_cherry_CRS_phenotyping_2011"
"573","FR3T033","Prunus avium","21.64","Sweet_cherry_CRS_phenotyping_2012"
"574","FR3T034","Prunus avium","18.45","Sweet_cherry_CRS_phenotyping_2011"
"575","FR3T034","Prunus avium","21.02","Sweet_cherry_CRS_phenotyping_2012"
"576","FR3T043","Prunus avium","18.35","Sweet_cherry_CRS_phenotyping_2011"
"577","FR3T043","Prunus avium","22.96","Sweet_cherry_CRS_phenotyping_2012"
"578","FR3T044","Prunus avium","19.6","Sweet_cherry_CRS_phenotyping_2011"
"579","FR3T044","Prunus avium","22.8","Sweet_cherry_CRS_phenotyping_2012"
"580","FR3T046","Prunus avium","15.23","Sweet_cherry_CRS_phenotyping_2011"
"581","FR3T046","Prunus avium","18.14","Sweet_cherry_CRS_phenotyping_2012"
"582","FR3T047","Prunus avium","19.15","Sweet_cherry_CRS_phenotyping_2011"
"583","FR3T047","Prunus avium","19.64","Sweet_cherry_CRS_phenotyping_2012"
"584","FR3T050","Prunus avium","21.24","Sweet_cherry_CRS_phenotyping_2012"
"585","FR3T050","Prunus avium","21.3","Sweet_cherry_CRS_phenotyping_2011"
"586","FR3T050","Prunus avium","23.75","Sweet_cherry_CRS_phenotyping_2010"
"587","FR3T056","Prunus avium","19.86","Sweet_cherry_CRS_phenotyping_2012"
"588","FR3T056","Prunus avium","20.75","Sweet_cherry_CRS_phenotyping_2011"
"589","FR3T056","Prunus avium","23.55","Sweet_cherry_CRS_phenotyping_2010"
"590","FR3T057","Prunus avium","17.3","Sweet_cherry_CRS_phenotyping_2011"
"591","FR3T057","Prunus avium","19.73","Sweet_cherry_CRS_phenotyping_2010"
"592","FR3T057","Prunus avium","21.8","Sweet_cherry_CRS_phenotyping_2012"
"593","FR3T058","Prunus avium","20.25","Sweet_cherry_CRS_phenotyping_2011"
"594","FR3T058","Prunus avium","23.44","Sweet_cherry_CRS_phenotyping_2012"
"595","FR42T001","Prunus avium","19.6","Sweet_cherry_CRS_phenotyping_2011"
"596","FR42T003","Prunus avium","22.94","Sweet_cherry_CRS_phenotyping_2012"
"597","FR42T005","Prunus avium","25.5","Sweet_cherry_CRS_phenotyping_2012"
"598","FR42T007","Prunus avium","22.74","Sweet_cherry_CRS_phenotyping_2012"
"599","FR42T045","Prunus avium","20.86","Sweet_cherry_CRS_phenotyping_2012"
"600","FR42T048","Prunus avium","15.1","Sweet_cherry_CRS_phenotyping_2011"
"601","FR42T048","Prunus avium","18.48","Sweet_cherry_CRS_phenotyping_2012"
"602","FR47T058","Prunus avium","21.56","Sweet_cherry_CRS_phenotyping_2012"
"603","FR47T059","Prunus avium","17.5","Sweet_cherry_CRS_phenotyping_2012"
"604","FR5T019","Prunus avium","17.23","Sweet_cherry_CRS_phenotyping_2011"
"605","FR5T019","Prunus avium","20.28","Sweet_cherry_CRS_phenotyping_2012"
"606","FR5T021","Prunus avium","15.78","Sweet_cherry_CRS_phenotyping_2011"
"607","FR5T021","Prunus avium","20.4","Sweet_cherry_CRS_phenotyping_2010"
"608","FR5T021","Prunus avium","22.28","Sweet_cherry_CRS_phenotyping_2012"
"609","FR5T025","Prunus avium","17","Sweet_cherry_CRS_phenotyping_2011"
"610","FR5T025","Prunus avium","22.68","Sweet_cherry_CRS_phenotyping_2012"
"611","FR8T002","Prunus avium","19.45","Sweet_cherry_CRS_phenotyping_2012"
"612","FR8T002","Prunus avium","22.25","Sweet_cherry_CRS_phenotyping_2011"
"613","FR8T003","Prunus avium","22.7","Sweet_cherry_CRS_phenotyping_2011"
"614","FR8T003","Prunus avium","25.14","Sweet_cherry_CRS_phenotyping_2012"
"615","FR8T004","Prunus avium","26.08","Sweet_cherry_CRS_phenotyping_2012"
"616","FR8T005","Prunus avium","22.9","Sweet_cherry_CRS_phenotyping_2012"
"617","FR8T006","Prunus avium","24.14","Sweet_cherry_CRS_phenotyping_2012"
"618","FR8T007","Prunus avium","26.82","Sweet_cherry_CRS_phenotyping_2012"
"619","FR8T010","Prunus avium","23.75","Sweet_cherry_CRS_phenotyping_2012"
"620","FR8T011","Prunus avium","18.67","Sweet_cherry_CRS_phenotyping_2011"
"621","FR8T011","Prunus avium","23.1","Sweet_cherry_CRS_phenotyping_2012"
"622","FR8T047","Prunus avium","25.42","Sweet_cherry_CRS_phenotyping_2012"
"623","FR8T053","Prunus avium","23.44","Sweet_cherry_CRS_phenotyping_2012"
"624","FR8T057","Prunus avium","18.5","Sweet_cherry_CRS_phenotyping_2011"
"625","FR8T057","Prunus avium","22.8","Sweet_cherry_CRS_phenotyping_2012"
"626","FR9T031","Prunus avium","19.83","Sweet_cherry_CRS_phenotyping_2010"
"627","FR9T031","Prunus avium","22.74","Sweet_cherry_CRS_phenotyping_2012"
"628","FR9T032","Prunus avium","16.1","Sweet_cherry_CRS_phenotyping_2012"
"629","FR9T032","Prunus avium","16.47","Sweet_cherry_CRS_phenotyping_2011"
"630","FR9T032","Prunus avium","19.13","Sweet_cherry_CRS_phenotyping_2010"
"631","FR9T033","Prunus avium","15.13","Sweet_cherry_CRS_phenotyping_2011"
"632","FR9T033","Prunus avium","24.2","Sweet_cherry_CRS_phenotyping_2012"
"633","FR9T034","Prunus avium","14.2","Sweet_cherry_CRS_phenotyping_2011"
"634","FR9T034","Prunus avium","19.78","Sweet_cherry_CRS_phenotyping_2012"
"635","FR9T081","Prunus avium","19.8","Sweet_cherry_CRS_phenotyping_2011"
"636","FR9T081","Prunus avium","25.92","Sweet_cherry_CRS_phenotyping_2012"
"637","FR9T083","Prunus avium","15.5","Sweet_cherry_CRS_phenotyping_2011"
"638","FR9T083","Prunus avium","21.32","Sweet_cherry_CRS_phenotyping_2012"
"639","FR9T084","Prunus avium","20.4","Sweet_cherry_CRS_phenotyping_2011"
"640","FR9T084","Prunus avium","24.6","Sweet_cherry_CRS_phenotyping_2012"
"641","FR9T085","Prunus avium","16.3","Sweet_cherry_CRS_phenotyping_2011"
"642","FR9T085","Prunus avium","22.38","Sweet_cherry_CRS_phenotyping_2012"
"643","FR9T086","Prunus avium","25.4","Sweet_cherry_CRS_phenotyping_2011"
"644","FR9T086","Prunus avium","25.74","Sweet_cherry_CRS_phenotyping_2012"
"645","FR9T087","Prunus avium","24.26","Sweet_cherry_CRS_phenotyping_2012"
"646","FR9T087","Prunus avium","27.4","Sweet_cherry_CRS_phenotyping_2011"
"647","FR9T096","Prunus avium","20.34","Sweet_cherry_CRS_phenotyping_2012"
"648","FR9T097","Prunus avium","20.3","Sweet_cherry_CRS_phenotyping_2011"
"649","FR9T097","Prunus avium","24.16","Sweet_cherry_CRS_phenotyping_2012"
"650","FR9T098","Prunus avium","23.5","Sweet_cherry_CRS_phenotyping_2011"
