"#","Germplasm","Species","SSC","Dataset"
"76","FR12T081","Prunus avium","22.42","Sweet_cherry_CRS_phenotyping_2012"
"77","FR28T002","Prunus avium","19.5","Sweet_cherry_CRS_phenotyping_2012"
"78","FR1T036","Prunus avium","17.6","Sweet_cherry_CRS_phenotyping_2011"
"79","FR1T036","Prunus avium","21.7","Sweet_cherry_CRS_phenotyping_2012"
"80","FR1T036","Prunus avium","21.75","Sweet_cherry_CRS_phenotyping_2010"
"81","FR1T074","Prunus avium","20.47","Sweet_cherry_CRS_phenotyping_2010"
"82","FR1T074","Prunus avium","22.4","Sweet_cherry_CRS_phenotyping_2012"
"83","FR1T074","Prunus avium","23.4","Sweet_cherry_CRS_phenotyping_2011"
"84","FR2T063","Prunus avium","23.02","Sweet_cherry_CRS_phenotyping_2012"
"85","FR2T030","Prunus avium","19.77","Sweet_cherry_CRS_phenotyping_2011"
"86","FR2T030","Prunus avium","19.85","Sweet_cherry_CRS_phenotyping_2010"
"87","FR2T030","Prunus avium","21","Sweet_cherry_CRS_phenotyping_2012"
"88","FR14T012","Prunus avium","28.15","Sweet_cherry_CRS_phenotyping_2012"
"89","FR3T070","Prunus avium","19.8","Sweet_cherry_CRS_phenotyping_2011"
"90","FR3T070","Prunus avium","20.17","Sweet_cherry_CRS_phenotyping_2010"
"91","FR3T070","Prunus avium","20.76","Sweet_cherry_CRS_phenotyping_2012"
"92","FR1T035","Prunus avium","19.45","Sweet_cherry_CRS_phenotyping_2011"
"93","FR1T035","Prunus avium","20.8","Sweet_cherry_CRS_phenotyping_2010"
"94","FR1T066","Prunus avium","16.67","Sweet_cherry_CRS_phenotyping_2011"
"95","FR1T066","Prunus avium","18.95","Sweet_cherry_CRS_phenotyping_2010"
"96","FR1T066","Prunus avium","21.06","Sweet_cherry_CRS_phenotyping_2012"
"97","FR1T069","Prunus avium","21.65","Sweet_cherry_CRS_phenotyping_2010"
"98","FR1T069","Prunus avium","23.1","Sweet_cherry_CRS_phenotyping_2012"
"99","FR1T069","Prunus avium","23.4","Sweet_cherry_CRS_phenotyping_2011"
"100","FR2T058","Prunus avium","19.25","Sweet_cherry_CRS_phenotyping_2011"
"101","FR2T058","Prunus avium","19.4","Sweet_cherry_CRS_phenotyping_2010"
"102","FR2T058","Prunus avium","20.32","Sweet_cherry_CRS_phenotyping_2012"
"103","FR14T100","Prunus avium","20.87","Sweet_cherry_CRS_phenotyping_2011"
"104","FR14T100","Prunus avium","25.14","Sweet_cherry_CRS_phenotyping_2012"
"105","FR20T045","Prunus avium","20.58","Sweet_cherry_CRS_phenotyping_2012"
"106","FR21T040","Prunus avium","21.48","Sweet_cherry_CRS_phenotyping_2011"
"107","FR21T040","Prunus avium","23.28","Sweet_cherry_CRS_phenotyping_2012"
"108","FR31T016","Prunus avium","23.55","Sweet_cherry_CRS_phenotyping_2012"
"109","FR23T097","Prunus avium","27.42","Sweet_cherry_CRS_phenotyping_2012"
"110","FR27T018","Prunus avium","18.85","Sweet_cherry_CRS_phenotyping_2011"
"111","FR27T018","Prunus avium","21.74","Sweet_cherry_CRS_phenotyping_2012"
"112","FR28T001","Prunus avium","20.94","Sweet_cherry_CRS_phenotyping_2012"
"113","FR28T100","Prunus avium","27.94","Sweet_cherry_CRS_phenotyping_2012"
"114","FR28T100","Prunus avium","33.7","Sweet_cherry_CRS_phenotyping_2011"
"115","FR28T101","Prunus avium","24","Sweet_cherry_CRS_phenotyping_2011"
"116","FR28T101","Prunus avium","26.2","Sweet_cherry_CRS_phenotyping_2012"
"117","FR28T102","Prunus avium","22.96","Sweet_cherry_CRS_phenotyping_2012"
"118","FR28T104","Prunus avium","20.1","Sweet_cherry_CRS_phenotyping_2012"
"119","FR28T104","Prunus avium","20.45","Sweet_cherry_CRS_phenotyping_2011"
"120","FR28T105","Prunus avium","25.85","Sweet_cherry_CRS_phenotyping_2011"
"121","FR28T105","Prunus avium","26.1","Sweet_cherry_CRS_phenotyping_2012"
"122","FR28T106","Prunus avium","21.65","Sweet_cherry_CRS_phenotyping_2011"
"123","FR28T106","Prunus avium","23","Sweet_cherry_CRS_phenotyping_2012"
"124","FR28T107","Prunus avium","22.92","Sweet_cherry_CRS_phenotyping_2012"
"125","FR28T107","Prunus avium","29.2","Sweet_cherry_CRS_phenotyping_2011"
"126","FR28T108","Prunus avium","21.08","Sweet_cherry_CRS_phenotyping_2012"
"127","FR28T108","Prunus avium","25.9","Sweet_cherry_CRS_phenotyping_2011"
"128","FR29T074","Prunus avium","27.02","Sweet_cherry_CRS_phenotyping_2012"
"129","FR29T075","Prunus avium","20","Sweet_cherry_CRS_phenotyping_2011"
"130","FR29T075","Prunus avium","20.08","Sweet_cherry_CRS_phenotyping_2012"
"131","FR29T076","Prunus avium","20.1","Sweet_cherry_CRS_phenotyping_2011"
"132","FR29T076","Prunus avium","28.35","Sweet_cherry_CRS_phenotyping_2012"
"133","FR29T077","Prunus avium","20.1","Sweet_cherry_CRS_phenotyping_2011"
"134","FR29T077","Prunus avium","23.86","Sweet_cherry_CRS_phenotyping_2012"
"135","FR10T098","Prunus avium","29.1","Sweet_cherry_CRS_phenotyping_2012"
"136","FR10T099","Prunus avium","17.33","Sweet_cherry_CRS_phenotyping_2011"
"137","FR10T099","Prunus avium","22.88","Sweet_cherry_CRS_phenotyping_2012"
"138","FR10T101","Prunus avium","21.5","Sweet_cherry_CRS_phenotyping_2011"
"139","FR10T101","Prunus avium","26.14","Sweet_cherry_CRS_phenotyping_2012"
"140","FR11T015","Prunus avium","18.85","Sweet_cherry_CRS_phenotyping_2010"
"141","FR11T015","Prunus avium","19.3","Sweet_cherry_CRS_phenotyping_2011"
"142","FR11T015","Prunus avium","21.08","Sweet_cherry_CRS_phenotyping_2012"
"143","FR11T016","Prunus avium","20.2","Sweet_cherry_CRS_phenotyping_2011"
"144","FR11T016","Prunus avium","25","Sweet_cherry_CRS_phenotyping_2012"
"145","FR11T017","Prunus avium","19.7","Sweet_cherry_CRS_phenotyping_2010"
"146","FR11T017","Prunus avium","21","Sweet_cherry_CRS_phenotyping_2011"
"147","FR11T017","Prunus avium","22.32","Sweet_cherry_CRS_phenotyping_2012"
"148","FR11T018","Prunus avium","19.15","Sweet_cherry_CRS_phenotyping_2010"
"149","FR11T018","Prunus avium","21.52","Sweet_cherry_CRS_phenotyping_2012"
"150","FR11T019","Prunus avium","15.8","Sweet_cherry_CRS_phenotyping_2011"
"151","FR11T019","Prunus avium","23.94","Sweet_cherry_CRS_phenotyping_2012"
"152","FR11T025","Prunus avium","15.25","Sweet_cherry_CRS_phenotyping_2011"
"153","FR11T025","Prunus avium","19.25","Sweet_cherry_CRS_phenotyping_2010"
"154","FR11T025","Prunus avium","21.92","Sweet_cherry_CRS_phenotyping_2012"
"155","FR11T026","Prunus avium","23.34","Sweet_cherry_CRS_phenotyping_2012"
"156","FR11T027","Prunus avium","20.4","Sweet_cherry_CRS_phenotyping_2011"
"157","FR11T027","Prunus avium","21.6","Sweet_cherry_CRS_phenotyping_2010"
"158","FR11T027","Prunus avium","25.4","Sweet_cherry_CRS_phenotyping_2012"
"159","FR11T028","Prunus avium","21","Sweet_cherry_CRS_phenotyping_2011"
"160","FR11T028","Prunus avium","21.28","Sweet_cherry_CRS_phenotyping_2012"
"161","FR11T028","Prunus avium","21.65","Sweet_cherry_CRS_phenotyping_2010"
"162","FR11T029","Prunus avium","18.5","Sweet_cherry_CRS_phenotyping_2010"
"163","FR11T029","Prunus avium","20.5","Sweet_cherry_CRS_phenotyping_2011"
"164","FR11T029","Prunus avium","20.66","Sweet_cherry_CRS_phenotyping_2012"
"165","FR11T030","Prunus avium","16.7","Sweet_cherry_CRS_phenotyping_2010"
"166","FR11T030","Prunus avium","22.52","Sweet_cherry_CRS_phenotyping_2012"
"167","FR11T031","Prunus avium","19.28","Sweet_cherry_CRS_phenotyping_2010"
"168","FR11T031","Prunus avium","20.5","Sweet_cherry_CRS_phenotyping_2011"
"169","FR11T031","Prunus avium","23.86","Sweet_cherry_CRS_phenotyping_2012"
"170","FR11T032","Prunus avium","17.05","Sweet_cherry_CRS_phenotyping_2011"
"171","FR11T032","Prunus avium","18.55","Sweet_cherry_CRS_phenotyping_2010"
"172","FR11T032","Prunus avium","18.76","Sweet_cherry_CRS_phenotyping_2012"
"173","FR12T001","Prunus avium","21.46","Sweet_cherry_CRS_phenotyping_2012"
"174","FR12T001","Prunus avium","24.5","Sweet_cherry_CRS_phenotyping_2011"
"175","FR12T003","Prunus avium","27.6","Sweet_cherry_CRS_phenotyping_2012"
"176","FR12T004","Prunus avium","24.17","Sweet_cherry_CRS_phenotyping_2011"
"177","FR12T004","Prunus avium","26.62","Sweet_cherry_CRS_phenotyping_2012"
"178","FR12T006","Prunus avium","16.23","Sweet_cherry_CRS_phenotyping_2011"
"179","FR12T006","Prunus avium","20.84","Sweet_cherry_CRS_phenotyping_2012"
"180","FR12T009","Prunus avium","16.05","Sweet_cherry_CRS_phenotyping_2011"
"181","FR12T009","Prunus avium","23.22","Sweet_cherry_CRS_phenotyping_2012"
"182","FR12T011","Prunus avium","19.85","Sweet_cherry_CRS_phenotyping_2010"
"183","FR12T011","Prunus avium","24.42","Sweet_cherry_CRS_phenotyping_2012"
"184","FR12T012","Prunus avium","15.8","Sweet_cherry_CRS_phenotyping_2011"
"185","FR12T012","Prunus avium","21.5","Sweet_cherry_CRS_phenotyping_2012"
"186","FR12T056","Prunus avium","18.33","Sweet_cherry_CRS_phenotyping_2011"
"187","FR12T056","Prunus avium","26.04","Sweet_cherry_CRS_phenotyping_2012"
"188","FR12T057","Prunus avium","22.92","Sweet_cherry_CRS_phenotyping_2012"
"189","FR12T058","Prunus avium","18.37","Sweet_cherry_CRS_phenotyping_2011"
"190","FR12T058","Prunus avium","18.92","Sweet_cherry_CRS_phenotyping_2012"
"191","FR12T063","Prunus avium","17.3","Sweet_cherry_CRS_phenotyping_2011"
"192","FR12T063","Prunus avium","20.6","Sweet_cherry_CRS_phenotyping_2012"
"193","FR12T066","Prunus avium","18.15","Sweet_cherry_CRS_phenotyping_2011"
"194","FR12T066","Prunus avium","23.62","Sweet_cherry_CRS_phenotyping_2012"
"195","FR12T067","Prunus avium","15.37","Sweet_cherry_CRS_phenotyping_2011"
"196","FR12T067","Prunus avium","22.8","Sweet_cherry_CRS_phenotyping_2012"
"197","FR12T068","Prunus avium","20.06","Sweet_cherry_CRS_phenotyping_2012"
"198","FR12T068","Prunus avium","21.6","Sweet_cherry_CRS_phenotyping_2011"
"199","FR12T069","Prunus avium","23.44","Sweet_cherry_CRS_phenotyping_2012"
"200","FR12T071","Prunus avium","16.33","Sweet_cherry_CRS_phenotyping_2011"
"201","FR12T071","Prunus avium","17.02","Sweet_cherry_CRS_phenotyping_2012"
"202","FR12T072","Prunus avium","21","Sweet_cherry_CRS_phenotyping_2011"
"203","FR12T072","Prunus avium","25.83","Sweet_cherry_CRS_phenotyping_2012"
"204","FR12T073","Prunus avium","16.4","Sweet_cherry_CRS_phenotyping_2011"
"205","FR12T073","Prunus avium","23","Sweet_cherry_CRS_phenotyping_2012"
"206","FR12T074","Prunus avium","25.3","Sweet_cherry_CRS_phenotyping_2012"
"207","FR12T076","Prunus avium","15.6","Sweet_cherry_CRS_phenotyping_2011"
"208","FR12T076","Prunus avium","18.3","Sweet_cherry_CRS_phenotyping_2012"
"209","FR12T077","Prunus avium","20.25","Sweet_cherry_CRS_phenotyping_2011"
"210","FR12T077","Prunus avium","23.25","Sweet_cherry_CRS_phenotyping_2010"
"211","FR12T077","Prunus avium","25.12","Sweet_cherry_CRS_phenotyping_2012"
"212","FR12T080","Prunus avium","17.48","Sweet_cherry_CRS_phenotyping_2012"
"213","FR12T080","Prunus avium","23.15","Sweet_cherry_CRS_phenotyping_2011"
"214","FR12T091","Prunus avium","17.37","Sweet_cherry_CRS_phenotyping_2011"
"215","FR12T091","Prunus avium","23.86","Sweet_cherry_CRS_phenotyping_2012"
"216","FR12T093","Prunus avium","17.43","Sweet_cherry_CRS_phenotyping_2011"
"217","FR12T093","Prunus avium","25.52","Sweet_cherry_CRS_phenotyping_2012"
"218","FR12T094","Prunus avium","23.76","Sweet_cherry_CRS_phenotyping_2012"
"219","FR13T058","Prunus avium","21.1","Sweet_cherry_CRS_phenotyping_2011"
"220","FR13T058","Prunus avium","21.4","Sweet_cherry_CRS_phenotyping_2012"
"221","FR13T061","Prunus avium","22.45","Sweet_cherry_CRS_phenotyping_2011"
"222","FR13T061","Prunus avium","24.46","Sweet_cherry_CRS_phenotyping_2012"
"223","FR14T056","Prunus avium","21.75","Sweet_cherry_CRS_phenotyping_2011"
"224","FR14T056","Prunus avium","23.7","Sweet_cherry_CRS_phenotyping_2012"
"225","FR14T057","Prunus avium","23.12","Sweet_cherry_CRS_phenotyping_2012"
"226","FR14T057","Prunus avium","24.63","Sweet_cherry_CRS_phenotyping_2011"
"227","FR14T060","Prunus avium","25.8","Sweet_cherry_CRS_phenotyping_2011"
"228","FR14T060","Prunus avium","26.4","Sweet_cherry_CRS_phenotyping_2012"
"229","FR14T075","Prunus avium","22.45","Sweet_cherry_CRS_phenotyping_2011"
"230","FR14T075","Prunus avium","22.89","Sweet_cherry_CRS_phenotyping_2012"
