"Country","Institute","Site","Latitude","Longitude","Altitude","Plantation","Year","Cultivar","  Clone  ","Rootstock","Beginning of flowering (date)","Full Flowering (date)","End of flowering (date)","Beginning of Maturity (date)","Beginning of flowering","Full Flowering","End of flowering","Beginning of Maturity","Flowering duration"
"France","Cefel","Montauban","44.04","1.31",90,2006,2009,"Folfer","V3387",,,27/3,,,,85,,,
"France","Cefel","Montauban","44.04","1.31",90,2006,2010,"Folfer","V3387",,,4/4,,,,93,,,
"France","Cefel","Montauban","44.04","1.31",90,2006,2008,"Poisdel","V2890",,,19/3,,,,77,,,
"France","Cefel","Montauban","44.04","1.31",90,2006,2009,"Poisdel","V2890",,,26/3,,,,84,,,
"France","Cefel","Montauban","44.04","1.31",90,2006,2010,"Poisdel","V2890",,,4/4,,,,93,,,
"France","Cefel","Montauban","44.04","1.31",90,2006,2009,"Rainier Sport","V3687",,,30/3,,,,88,,,
"France","Cefel","Montauban","44.04","1.31",90,2006,2008,"Rainier Sport","V3687",,,1/4,,,,90,,,
"France","Cefel","Montauban","44.04","1.31",90,2006,2010,"Rainier Sport","V3687",,,11/4,,,,100,,,
"France","Cefel","Montauban","44.04","1.31",90,2009,2012,"Emperor Francis","V3291",,,1/4,,,,90,,,
"France","Cefel","Montauban","44.04","1.31",90,2009,2011,"Emperor Francis","V3291",,,3/4,,,,92,,,
"France","Cefel","Montauban","44.04","1.31",90,2009,2011,"Imperiale","V2865",,,6/4,,,,95,,,
"France","Cefel","Montauban","44.04","1.31",90,2009,2012,"Imperiale","V2865",,,10/4,,,,99,,,
"France","Cefel","Montauban","44.04","1.31",90,2009,2011,"Starblush","V3269",,,4/4,,,,93,,,
"France","Cefel","Montauban","44.04","1.31",90,2004,2008,"Belge","V3768",,,8/4,,,,97,,,
"France","Cefel","Montauban","44.04","1.31",90,2004,2009,"Belge","V3768",,,7/4,,,,96,,,
"France","Cefel","Montauban","44.04","1.31",90,2004,2010,"Belge","V3768",,,13/4,,,,102,,,
"France","Cefel","Montauban","44.04","1.31",90,2004,2011,"Belge","V3768",,,4/4,,,,93,,,
"France","Cefel","Montauban","44.04","1.31",90,2004,2012,"Belge","V3768",,,6/4,,,,95,,,
"France","Cefel","Montauban","44.04","1.31",90,1998,2008,"Sweetheart Sumtare","V2465",,,29/3,,,,87,,,
