"#","Germplasm","Species","Pull_Force","Dataset"
"324","FR22T004","Prunus avium","533.3","Sweet_cherry_CRS_phenotyping_2012"
"325","FR22T004","Prunus avium","1305.2","Sweet_cherry_CRS_phenotyping_2011"
"326","FR22T006","Prunus avium","674","Sweet_cherry_CRS_phenotyping_2012"
"327","FR22T007","Prunus avium","629.2","Sweet_cherry_CRS_phenotyping_2012"
"328","FR23T065","Prunus avium","534.3","Sweet_cherry_CRS_phenotyping_2012"
"329","FR23T067","Prunus avium","543.5","Sweet_cherry_CRS_phenotyping_2012"
"330","FR23T068","Prunus avium","477.2","Sweet_cherry_CRS_phenotyping_2012"
"331","FR23T069","Prunus avium","588.4","Sweet_cherry_CRS_phenotyping_2012"
"332","FR23T072","Prunus avium","610.8","Sweet_cherry_CRS_phenotyping_2012"
"333","FR23T089","Prunus avium","614.9","Sweet_cherry_CRS_phenotyping_2012"
"334","FR23T090","Prunus avium","511.9","Sweet_cherry_CRS_phenotyping_2011"
"335","FR23T090","Prunus avium","637.3","Sweet_cherry_CRS_phenotyping_2012"
"336","FR23T091","Prunus avium","639.4","Sweet_cherry_CRS_phenotyping_2012"
"337","FR23T095","Prunus avium","615.9","Sweet_cherry_CRS_phenotyping_2012"
"338","FR23T113","Prunus avium","756.6","Sweet_cherry_CRS_phenotyping_2012"
"339","FR23T116","Prunus avium","714.8","Sweet_cherry_CRS_phenotyping_2012"
"340","FR23T119","Prunus avium","877","Sweet_cherry_CRS_phenotyping_2011"
"341","FR23T120","Prunus avium","549.6","Sweet_cherry_CRS_phenotyping_2011"
"342","FR23T120","Prunus avium","663.8","Sweet_cherry_CRS_phenotyping_2012"
"343","FR23T127","Prunus avium","806.6","Sweet_cherry_CRS_phenotyping_2012"
"344","FR23T128","Prunus avium","1246.1","Sweet_cherry_CRS_phenotyping_2012"
"345","FR23T129","Prunus avium","1069.7","Sweet_cherry_CRS_phenotyping_2012"
"346","FR23T129","Prunus avium","1090.1","Sweet_cherry_CRS_phenotyping_2011"
"347","FR23T130","Prunus avium","852.5","Sweet_cherry_CRS_phenotyping_2012"
"348","FR23T130","Prunus avium","1048.3","Sweet_cherry_CRS_phenotyping_2011"
"349","FR23T131","Prunus avium","891.2","Sweet_cherry_CRS_phenotyping_2011"
"350","FR23T131","Prunus avium","1126.8","Sweet_cherry_CRS_phenotyping_2012"
"351","FR24T069","Prunus avium","650.6","Sweet_cherry_CRS_phenotyping_2012"
"352","FR24T072","Prunus avium","965.7","Sweet_cherry_CRS_phenotyping_2012"
"353","FR24T077","Prunus avium","615.9","Sweet_cherry_CRS_phenotyping_2011"
"354","FR25T081","Prunus avium","800.5","Sweet_cherry_CRS_phenotyping_2012"
"355","FR25T081","Prunus avium","963.6","Sweet_cherry_CRS_phenotyping_2011"
"356","FR25T084","Prunus avium","699.5","Sweet_cherry_CRS_phenotyping_2012"
"357","FR25T086","Prunus avium","730.1","Sweet_cherry_CRS_phenotyping_2012"
"358","FR25T090","Prunus avium","604.7","Sweet_cherry_CRS_phenotyping_2012"
"359","FR25T090","Prunus avium","674","Sweet_cherry_CRS_phenotyping_2011"
"360","FR26T030","Prunus avium","571","Sweet_cherry_CRS_phenotyping_2012"
"361","FR26T031","Prunus avium","898.4","Sweet_cherry_CRS_phenotyping_2012"
"362","FR26T033","Prunus avium","624.1","Sweet_cherry_CRS_phenotyping_2012"
"363","FR26T033","Prunus avium","702.6","Sweet_cherry_CRS_phenotyping_2011"
"364","FR26T034","Prunus avium","516","Sweet_cherry_CRS_phenotyping_2011"
"365","FR26T034","Prunus avium","570","Sweet_cherry_CRS_phenotyping_2012"
"366","FR26T036","Prunus avium","659.8","Sweet_cherry_CRS_phenotyping_2011"
"367","FR26T036","Prunus avium","677.1","Sweet_cherry_CRS_phenotyping_2012"
"368","FR26T037","Prunus avium","538.4","Sweet_cherry_CRS_phenotyping_2011"
"369","FR26T037","Prunus avium","809.7","Sweet_cherry_CRS_phenotyping_2012"
"370","FR26T038","Prunus avium","502.7","Sweet_cherry_CRS_phenotyping_2011"
"371","FR26T038","Prunus avium","859.6","Sweet_cherry_CRS_phenotyping_2012"
"372","FR26T040","Prunus avium","888.2","Sweet_cherry_CRS_phenotyping_2012"
"373","FR27T001","Prunus avium","481.3","Sweet_cherry_CRS_phenotyping_2012"
"374","FR27T001","Prunus avium","603.7","Sweet_cherry_CRS_phenotyping_2011"
"375","FR27T006","Prunus avium","593.5","Sweet_cherry_CRS_phenotyping_2012"
"376","FR27T007","Prunus avium","595.5","Sweet_cherry_CRS_phenotyping_2012"
"377","FR27T008","Prunus avium","545.5","Sweet_cherry_CRS_phenotyping_2012"
"378","FR27T009","Prunus avium","557.8","Sweet_cherry_CRS_phenotyping_2011"
"379","FR27T010","Prunus avium","536.4","Sweet_cherry_CRS_phenotyping_2012"
"380","FR27T012","Prunus avium","506.8","Sweet_cherry_CRS_phenotyping_2011"
"381","FR27T012","Prunus avium","545.5","Sweet_cherry_CRS_phenotyping_2012"
"382","FR27T013","Prunus avium","449.7","Sweet_cherry_CRS_phenotyping_2011"
"383","FR27T013","Prunus avium","557.8","Sweet_cherry_CRS_phenotyping_2012"
"384","FR27T014","Prunus avium","418.1","Sweet_cherry_CRS_phenotyping_2011"
"385","FR27T014","Prunus avium","537.4","Sweet_cherry_CRS_phenotyping_2012"
"386","FR27T015","Prunus avium","531.3","Sweet_cherry_CRS_phenotyping_2011"
"387","FR27T015","Prunus avium","540.4","Sweet_cherry_CRS_phenotyping_2012"
"388","FR27T017","Prunus avium","590.4","Sweet_cherry_CRS_phenotyping_2012"
"389","FR27T050","Prunus avium","556.8","Sweet_cherry_CRS_phenotyping_2012"
"390","FR27T051","Prunus avium","545.5","Sweet_cherry_CRS_phenotyping_2012"
"391","FR27T052","Prunus avium","751.5","Sweet_cherry_CRS_phenotyping_2012"
"392","FR27T052","Prunus avium","803.5","Sweet_cherry_CRS_phenotyping_2011"
"393","FR27T053","Prunus avium","478.2","Sweet_cherry_CRS_phenotyping_2011"
"394","FR27T053","Prunus avium","580.2","Sweet_cherry_CRS_phenotyping_2012"
"395","FR27T054","Prunus avium","428.3","Sweet_cherry_CRS_phenotyping_2011"
"396","FR27T054","Prunus avium","582.3","Sweet_cherry_CRS_phenotyping_2012"
"397","FR27T094","Prunus avium","517","Sweet_cherry_CRS_phenotyping_2012"
"398","FR27T094","Prunus avium","600.6","Sweet_cherry_CRS_phenotyping_2011"
"399","FR27T096","Prunus avium","517","Sweet_cherry_CRS_phenotyping_2011"
"400","FR27T096","Prunus avium","567","Sweet_cherry_CRS_phenotyping_2012"
"401","FR27T097","Prunus avium","660.8","Sweet_cherry_CRS_phenotyping_2012"
"402","FR27T097","Prunus avium","771.9","Sweet_cherry_CRS_phenotyping_2011"
"403","FR27T099","Prunus avium","553.7","Sweet_cherry_CRS_phenotyping_2012"
"404","FR27T099","Prunus avium","611.8","Sweet_cherry_CRS_phenotyping_2011"
"405","FR27T102","Prunus avium","527.2","Sweet_cherry_CRS_phenotyping_2012"
"406","FR28T099","Prunus avium","545.5","Sweet_cherry_CRS_phenotyping_2012"
"407","FR29T073","Prunus avium","481.3","Sweet_cherry_CRS_phenotyping_2011"
"408","FR29T073","Prunus avium","568","Sweet_cherry_CRS_phenotyping_2012"
"409","FR29T117","Prunus avium","582.3","Sweet_cherry_CRS_phenotyping_2012"
"410","FR29T118","Prunus avium","574.1","Sweet_cherry_CRS_phenotyping_2012"
"411","FR29T119","Prunus avium","662.8","Sweet_cherry_CRS_phenotyping_2012"
"412","FR29T120","Prunus avium","544.5","Sweet_cherry_CRS_phenotyping_2012"
"413","FR29T120","Prunus avium","741.3","Sweet_cherry_CRS_phenotyping_2011"
"414","FR29T122","Prunus avium","437.5","Sweet_cherry_CRS_phenotyping_2011"
"415","FR29T122","Prunus avium","542.5","Sweet_cherry_CRS_phenotyping_2012"
"416","FR29T124","Prunus avium","438.5","Sweet_cherry_CRS_phenotyping_2011"
"417","FR29T124","Prunus avium","655.7","Sweet_cherry_CRS_phenotyping_2012"
"418","FR29T126","Prunus avium","573.1","Sweet_cherry_CRS_phenotyping_2012"
"419","FR2T035","Prunus avium","486.4","Sweet_cherry_CRS_phenotyping_2012"
"420","FR2T035","Prunus avium","516","Sweet_cherry_CRS_phenotyping_2010"
"421","FR2T035","Prunus avium","611.8","Sweet_cherry_CRS_phenotyping_2011"
"422","FR2T037","Prunus avium","471.1","Sweet_cherry_CRS_phenotyping_2012"
"423","FR2T037","Prunus avium","726","Sweet_cherry_CRS_phenotyping_2011"
"424","FR2T037","Prunus avium","961.6","Sweet_cherry_CRS_phenotyping_2010"
"425","FR2T038","Prunus avium","486.4","Sweet_cherry_CRS_phenotyping_2012"
"426","FR2T038","Prunus avium","660.8","Sweet_cherry_CRS_phenotyping_2011"
"427","FR2T038","Prunus avium","708.7","Sweet_cherry_CRS_phenotyping_2010"
"428","FR2T040","Prunus avium","772.9","Sweet_cherry_CRS_phenotyping_2011"
"429","FR2T040","Prunus avium","944.3","Sweet_cherry_CRS_phenotyping_2012"
"430","FR2T040","Prunus avium","1147.2","Sweet_cherry_CRS_phenotyping_2010"
"431","FR2T045","Prunus avium","597.6","Sweet_cherry_CRS_phenotyping_2012"
"432","FR2T045","Prunus avium","850.4","Sweet_cherry_CRS_phenotyping_2010"
"433","FR2T045","Prunus avium","975.9","Sweet_cherry_CRS_phenotyping_2011"
"434","FR2T046","Prunus avium","543.5","Sweet_cherry_CRS_phenotyping_2012"
"435","FR2T046","Prunus avium","725","Sweet_cherry_CRS_phenotyping_2011"
"436","FR2T046","Prunus avium","953.4","Sweet_cherry_CRS_phenotyping_2010"
"437","FR2T048","Prunus avium","512.9","Sweet_cherry_CRS_phenotyping_2012"
"438","FR2T048","Prunus avium","882.1","Sweet_cherry_CRS_phenotyping_2011"
"439","FR2T049","Prunus avium","495.6","Sweet_cherry_CRS_phenotyping_2011"
"440","FR2T049","Prunus avium","519","Sweet_cherry_CRS_phenotyping_2012"
"441","FR2T049","Prunus avium","604.7","Sweet_cherry_CRS_phenotyping_2010"
"442","FR2T050","Prunus avium","500.7","Sweet_cherry_CRS_phenotyping_2012"
"443","FR2T050","Prunus avium","695.4","Sweet_cherry_CRS_phenotyping_2011"
"444","FR2T050","Prunus avium","789.3","Sweet_cherry_CRS_phenotyping_2010"
"445","FR2T054","Prunus avium","713.8","Sweet_cherry_CRS_phenotyping_2012"
"446","FR2T054","Prunus avium","947.3","Sweet_cherry_CRS_phenotyping_2010"
"447","FR2T054","Prunus avium","1021.8","Sweet_cherry_CRS_phenotyping_2011"
"448","FR2T057","Prunus avium","620","Sweet_cherry_CRS_phenotyping_2012"
"449","FR2T057","Prunus avium","646.5","Sweet_cherry_CRS_phenotyping_2010"
"450","FR2T057","Prunus avium","887.2","Sweet_cherry_CRS_phenotyping_2011"
"451","FR2T079","Prunus avium","934.1","Sweet_cherry_CRS_phenotyping_2012"
"452","FR2T079","Prunus avium","939.2","Sweet_cherry_CRS_phenotyping_2010"
"453","FR2T079","Prunus avium","1035","Sweet_cherry_CRS_phenotyping_2011"
"454","FR2T080","Prunus avium","590.4","Sweet_cherry_CRS_phenotyping_2012"
"455","FR2T080","Prunus avium","724","Sweet_cherry_CRS_phenotyping_2010"
"456","FR2T080","Prunus avium","935.1","Sweet_cherry_CRS_phenotyping_2011"
"457","FR30T099","Prunus avium","634.3","Sweet_cherry_CRS_phenotyping_2012"
"458","FR30T099","Prunus avium","820.9","Sweet_cherry_CRS_phenotyping_2011"
"459","FR30T100","Prunus avium","662.8","Sweet_cherry_CRS_phenotyping_2012"
"460","FR30T101","Prunus avium","654.7","Sweet_cherry_CRS_phenotyping_2012"
"461","FR30T102","Prunus avium","607.8","Sweet_cherry_CRS_phenotyping_2012"
"462","FR30T102","Prunus avium","1069.7","Sweet_cherry_CRS_phenotyping_2011"
"463","FR30T103","Prunus avium","626.1","Sweet_cherry_CRS_phenotyping_2012"
"464","FR30T105","Prunus avium","650.6","Sweet_cherry_CRS_phenotyping_2012"
"465","FR30T106","Prunus avium","492.5","Sweet_cherry_CRS_phenotyping_2011"
"466","FR30T106","Prunus avium","568","Sweet_cherry_CRS_phenotyping_2012"
"467","FR30T107","Prunus avium","609.8","Sweet_cherry_CRS_phenotyping_2012"
"468","FR30T108","Prunus avium","483.3","Sweet_cherry_CRS_phenotyping_2011"
"469","FR30T108","Prunus avium","725","Sweet_cherry_CRS_phenotyping_2012"
"470","FR30T109","Prunus avium","484.4","Sweet_cherry_CRS_phenotyping_2011"
"471","FR30T109","Prunus avium","655.7","Sweet_cherry_CRS_phenotyping_2012"
"472","FR31T007","Prunus avium","539.4","Sweet_cherry_CRS_phenotyping_2012"
"473","FR31T007","Prunus avium","784.2","Sweet_cherry_CRS_phenotyping_2011"
"474","FR31T008","Prunus avium","585.3","Sweet_cherry_CRS_phenotyping_2012"
"475","FR31T009","Prunus avium","751.5","Sweet_cherry_CRS_phenotyping_2012"
"476","FR31T010","Prunus avium","870.8","Sweet_cherry_CRS_phenotyping_2012"
"477","FR31T010","Prunus avium","1093.1","Sweet_cherry_CRS_phenotyping_2011"
"478","FR31T011","Prunus avium","513.9","Sweet_cherry_CRS_phenotyping_2012"
"479","FR31T013","Prunus avium","603.7","Sweet_cherry_CRS_phenotyping_2012"
"480","FR31T014","Prunus avium","657.7","Sweet_cherry_CRS_phenotyping_2012"
"481","FR33T001","Prunus avium","781.1","Sweet_cherry_CRS_phenotyping_2012"
"482","FR33T004","Prunus avium","715.8","Sweet_cherry_CRS_phenotyping_2011"
"483","FR33T004","Prunus avium","754.6","Sweet_cherry_CRS_phenotyping_2012"
"484","FR33T005","Prunus avium","616.9","Sweet_cherry_CRS_phenotyping_2011"
"485","FR33T005","Prunus avium","850.4","Sweet_cherry_CRS_phenotyping_2012"
"486","FR33T006","Prunus avium","659.8","Sweet_cherry_CRS_phenotyping_2011"
"487","FR33T006","Prunus avium","779.1","Sweet_cherry_CRS_phenotyping_2012"
"488","FR33T007","Prunus avium","586.3","Sweet_cherry_CRS_phenotyping_2012"
"489","FR33T008","Prunus avium","561.9","Sweet_cherry_CRS_phenotyping_2011"
"490","FR33T008","Prunus avium","602.7","Sweet_cherry_CRS_phenotyping_2012"
"491","FR33T011","Prunus avium","563.9","Sweet_cherry_CRS_phenotyping_2012"
"492","FR35T101","Prunus avium","716.9","Sweet_cherry_CRS_phenotyping_2011"
"493","FR35T101","Prunus avium","752.6","Sweet_cherry_CRS_phenotyping_2012"
"494","FR35T102","Prunus avium","429.3","Sweet_cherry_CRS_phenotyping_2011"
"495","FR35T102","Prunus avium","549.6","Sweet_cherry_CRS_phenotyping_2012"
"496","FR35T103","Prunus avium","753.6","Sweet_cherry_CRS_phenotyping_2012"
"497","FR35T103","Prunus avium","1121.7","Sweet_cherry_CRS_phenotyping_2011"
"498","FR35T104","Prunus avium","889.2","Sweet_cherry_CRS_phenotyping_2011"
"499","FR35T104","Prunus avium","1021.8","Sweet_cherry_CRS_phenotyping_2012"
"500","FR35T105","Prunus avium","550.6","Sweet_cherry_CRS_phenotyping_2011"
"501","FR35T105","Prunus avium","604.7","Sweet_cherry_CRS_phenotyping_2012"
"502","FR35T108","Prunus avium","588.4","Sweet_cherry_CRS_phenotyping_2011"
"503","FR35T108","Prunus avium","656.7","Sweet_cherry_CRS_phenotyping_2012"
"504","FR35T110","Prunus avium","729.1","Sweet_cherry_CRS_phenotyping_2012"
"505","FR35T110","Prunus avium","793.3","Sweet_cherry_CRS_phenotyping_2011"
"506","FR38T001","Prunus avium","690.3","Sweet_cherry_CRS_phenotyping_2012"
"507","FR38T002","Prunus avium","818.8","Sweet_cherry_CRS_phenotyping_2012"
"508","FR38T003","Prunus avium","651.6","Sweet_cherry_CRS_phenotyping_2012"
"509","FR38T005","Prunus avium","648.5","Sweet_cherry_CRS_phenotyping_2012"
"510","FR3T002","Prunus avium","586.3","Sweet_cherry_CRS_phenotyping_2012"
"511","FR3T002","Prunus avium","702.6","Sweet_cherry_CRS_phenotyping_2011"
"512","FR3T002","Prunus avium","749.5","Sweet_cherry_CRS_phenotyping_2010"
"513","FR3T003","Prunus avium","542.5","Sweet_cherry_CRS_phenotyping_2012"
"514","FR3T003","Prunus avium","690.3","Sweet_cherry_CRS_phenotyping_2011"
"515","FR3T004","Prunus avium","577.2","Sweet_cherry_CRS_phenotyping_2012"
"516","FR3T004","Prunus avium","620","Sweet_cherry_CRS_phenotyping_2011"
"517","FR3T004","Prunus avium","723","Sweet_cherry_CRS_phenotyping_2010"
"518","FR3T005","Prunus avium","660.8","Sweet_cherry_CRS_phenotyping_2012"
"519","FR3T005","Prunus avium","1092.1","Sweet_cherry_CRS_phenotyping_2011"
"520","FR3T007","Prunus avium","518","Sweet_cherry_CRS_phenotyping_2012"
"521","FR3T007","Prunus avium","842.3","Sweet_cherry_CRS_phenotyping_2011"
"522","FR3T008","Prunus avium","575.1","Sweet_cherry_CRS_phenotyping_2012"
"523","FR3T008","Prunus avium","875.9","Sweet_cherry_CRS_phenotyping_2011"
"524","FR3T009","Prunus avium","654.7","Sweet_cherry_CRS_phenotyping_2012"
"525","FR3T009","Prunus avium","662.8","Sweet_cherry_CRS_phenotyping_2011"
"526","FR3T011","Prunus avium","1248.1","Sweet_cherry_CRS_phenotyping_2012"
"527","FR3T013","Prunus avium","751.5","Sweet_cherry_CRS_phenotyping_2012"
"528","FR3T013","Prunus avium","851.5","Sweet_cherry_CRS_phenotyping_2011"
"529","FR3T014","Prunus avium","615.9","Sweet_cherry_CRS_phenotyping_2011"
"530","FR3T014","Prunus avium","749.5","Sweet_cherry_CRS_phenotyping_2012"
"531","FR3T014","Prunus avium","1103.3","Sweet_cherry_CRS_phenotyping_2010"
"532","FR3T015","Prunus avium","764.8","Sweet_cherry_CRS_phenotyping_2012"
"533","FR3T015","Prunus avium","1009.5","Sweet_cherry_CRS_phenotyping_2011"
"534","FR3T016","Prunus avium","786.2","Sweet_cherry_CRS_phenotyping_2011"
"535","FR3T016","Prunus avium","847.4","Sweet_cherry_CRS_phenotyping_2012"
"536","FR3T016","Prunus avium","1012.6","Sweet_cherry_CRS_phenotyping_2010"
"537","FR3T017","Prunus avium","887.2","Sweet_cherry_CRS_phenotyping_2012"
"538","FR3T018","Prunus avium","887.2","Sweet_cherry_CRS_phenotyping_2011"
"539","FR3T018","Prunus avium","940.2","Sweet_cherry_CRS_phenotyping_2012"
"540","FR3T018","Prunus avium","988.1","Sweet_cherry_CRS_phenotyping_2010"
"541","FR3T019","Prunus avium","888.2","Sweet_cherry_CRS_phenotyping_2012"
"542","FR3T020","Prunus avium","734.2","Sweet_cherry_CRS_phenotyping_2012"
"543","FR3T020","Prunus avium","919.8","Sweet_cherry_CRS_phenotyping_2010"
"544","FR3T020","Prunus avium","962.6","Sweet_cherry_CRS_phenotyping_2011"
"545","FR3T021","Prunus avium","719.9","Sweet_cherry_CRS_phenotyping_2012"
"546","FR3T021","Prunus avium","1133.9","Sweet_cherry_CRS_phenotyping_2011"
"547","FR3T021","Prunus avium","1396","Sweet_cherry_CRS_phenotyping_2010"
"548","FR3T022","Prunus avium","703.6","Sweet_cherry_CRS_phenotyping_2011"
"549","FR3T022","Prunus avium","1012.6","Sweet_cherry_CRS_phenotyping_2012"
"550","FR3T023","Prunus avium","719.9","Sweet_cherry_CRS_phenotyping_2012"
"551","FR3T023","Prunus avium","1076.8","Sweet_cherry_CRS_phenotyping_2011"
"552","FR3T025","Prunus avium","1068.7","Sweet_cherry_CRS_phenotyping_2011"
"553","FR3T025","Prunus avium","1214.5","Sweet_cherry_CRS_phenotyping_2012"
"554","FR3T025","Prunus avium","1337.9","Sweet_cherry_CRS_phenotyping_2010"
"555","FR3T026","Prunus avium","571","Sweet_cherry_CRS_phenotyping_2012"
"556","FR3T026","Prunus avium","962.6","Sweet_cherry_CRS_phenotyping_2011"
"557","FR3T027","Prunus avium","713.8","Sweet_cherry_CRS_phenotyping_2012"
"558","FR3T027","Prunus avium","1189","Sweet_cherry_CRS_phenotyping_2011"
"559","FR3T028","Prunus avium","727.1","Sweet_cherry_CRS_phenotyping_2012"
"560","FR3T029","Prunus avium","529.2","Sweet_cherry_CRS_phenotyping_2012"
"561","FR3T029","Prunus avium","1076.8","Sweet_cherry_CRS_phenotyping_2011"
"562","FR3T030","Prunus avium","753.6","Sweet_cherry_CRS_phenotyping_2012"
"563","FR3T030","Prunus avium","852.5","Sweet_cherry_CRS_phenotyping_2011"
"564","FR3T031","Prunus avium","515","Sweet_cherry_CRS_phenotyping_2012"
"565","FR3T031","Prunus avium","919.8","Sweet_cherry_CRS_phenotyping_2011"
"566","FR3T032","Prunus avium","694.4","Sweet_cherry_CRS_phenotyping_2012"
"567","FR3T032","Prunus avium","1219.6","Sweet_cherry_CRS_phenotyping_2011"
"568","FR3T033","Prunus avium","522.1","Sweet_cherry_CRS_phenotyping_2011"
"569","FR3T033","Prunus avium","852.5","Sweet_cherry_CRS_phenotyping_2012"
"570","FR3T034","Prunus avium","862.7","Sweet_cherry_CRS_phenotyping_2012"
"571","FR3T034","Prunus avium","922.8","Sweet_cherry_CRS_phenotyping_2011"
"572","FR3T043","Prunus avium","675.1","Sweet_cherry_CRS_phenotyping_2012"
"573","FR3T043","Prunus avium","748.5","Sweet_cherry_CRS_phenotyping_2010"
"574","FR3T043","Prunus avium","1127.8","Sweet_cherry_CRS_phenotyping_2011"
"575","FR3T044","Prunus avium","524.1","Sweet_cherry_CRS_phenotyping_2012"
"576","FR3T044","Prunus avium","652.6","Sweet_cherry_CRS_phenotyping_2011"
"577","FR3T046","Prunus avium","833.1","Sweet_cherry_CRS_phenotyping_2012"
"578","FR3T046","Prunus avium","958.5","Sweet_cherry_CRS_phenotyping_2011"
"579","FR3T047","Prunus avium","513.9","Sweet_cherry_CRS_phenotyping_2012"
"580","FR3T047","Prunus avium","638.3","Sweet_cherry_CRS_phenotyping_2011"
"581","FR3T050","Prunus avium","812.7","Sweet_cherry_CRS_phenotyping_2012"
"582","FR3T050","Prunus avium","821.9","Sweet_cherry_CRS_phenotyping_2010"
"583","FR3T050","Prunus avium","958.5","Sweet_cherry_CRS_phenotyping_2011"
"584","FR3T056","Prunus avium","817.8","Sweet_cherry_CRS_phenotyping_2012"
"585","FR3T056","Prunus avium","976.9","Sweet_cherry_CRS_phenotyping_2011"
"586","FR3T056","Prunus avium","987.1","Sweet_cherry_CRS_phenotyping_2010"
"587","FR3T057","Prunus avium","717.9","Sweet_cherry_CRS_phenotyping_2012"
"588","FR3T057","Prunus avium","967.7","Sweet_cherry_CRS_phenotyping_2010"
"589","FR3T057","Prunus avium","1129.8","Sweet_cherry_CRS_phenotyping_2011"
"590","FR3T058","Prunus avium","735.2","Sweet_cherry_CRS_phenotyping_2012"
"591","FR3T058","Prunus avium","1073.8","Sweet_cherry_CRS_phenotyping_2011"
"592","FR42T001","Prunus avium","473.1","Sweet_cherry_CRS_phenotyping_2011"
"593","FR42T003","Prunus avium","826","Sweet_cherry_CRS_phenotyping_2012"
"594","FR42T005","Prunus avium","728.1","Sweet_cherry_CRS_phenotyping_2012"
"595","FR42T007","Prunus avium","759.7","Sweet_cherry_CRS_phenotyping_2012"
"596","FR42T045","Prunus avium","633.2","Sweet_cherry_CRS_phenotyping_2012"
"597","FR42T048","Prunus avium","567","Sweet_cherry_CRS_phenotyping_2011"
"598","FR42T048","Prunus avium","593.5","Sweet_cherry_CRS_phenotyping_2012"
"599","FR47T058","Prunus avium","633.2","Sweet_cherry_CRS_phenotyping_2012"
"600","FR47T059","Prunus avium","629.2","Sweet_cherry_CRS_phenotyping_2012"
"601","FR5T019","Prunus avium","641.4","Sweet_cherry_CRS_phenotyping_2012"
"602","FR5T019","Prunus avium","1197.1","Sweet_cherry_CRS_phenotyping_2011"
"603","FR5T021","Prunus avium","713.8","Sweet_cherry_CRS_phenotyping_2012"
"604","FR5T021","Prunus avium","988.1","Sweet_cherry_CRS_phenotyping_2011"
"605","FR5T021","Prunus avium","1029.9","Sweet_cherry_CRS_phenotyping_2010"
"606","FR5T025","Prunus avium","755.6","Sweet_cherry_CRS_phenotyping_2011"
"607","FR5T025","Prunus avium","874.9","Sweet_cherry_CRS_phenotyping_2012"
"608","FR8T002","Prunus avium","649.6","Sweet_cherry_CRS_phenotyping_2012"
"609","FR8T002","Prunus avium","810.7","Sweet_cherry_CRS_phenotyping_2011"
"610","FR8T003","Prunus avium","635.3","Sweet_cherry_CRS_phenotyping_2012"
"611","FR8T003","Prunus avium","777","Sweet_cherry_CRS_phenotyping_2011"
"612","FR8T004","Prunus avium","546.6","Sweet_cherry_CRS_phenotyping_2012"
"613","FR8T005","Prunus avium","529.2","Sweet_cherry_CRS_phenotyping_2012"
"614","FR8T006","Prunus avium","599.6","Sweet_cherry_CRS_phenotyping_2012"
"615","FR8T007","Prunus avium","512.9","Sweet_cherry_CRS_phenotyping_2012"
"616","FR8T010","Prunus avium","601.6","Sweet_cherry_CRS_phenotyping_2012"
"617","FR8T011","Prunus avium","647.5","Sweet_cherry_CRS_phenotyping_2011"
"618","FR8T011","Prunus avium","656.7","Sweet_cherry_CRS_phenotyping_2012"
"619","FR8T047","Prunus avium","546.6","Sweet_cherry_CRS_phenotyping_2012"
"620","FR8T053","Prunus avium","581.2","Sweet_cherry_CRS_phenotyping_2012"
"621","FR8T057","Prunus avium","646.5","Sweet_cherry_CRS_phenotyping_2012"
"622","FR8T057","Prunus avium","804.6","Sweet_cherry_CRS_phenotyping_2011"
"623","FR9T031","Prunus avium","563.9","Sweet_cherry_CRS_phenotyping_2012"
"624","FR9T031","Prunus avium","849.4","Sweet_cherry_CRS_phenotyping_2010"
"625","FR9T032","Prunus avium","516","Sweet_cherry_CRS_phenotyping_2012"
"626","FR9T032","Prunus avium","601.6","Sweet_cherry_CRS_phenotyping_2011"
"627","FR9T032","Prunus avium","829","Sweet_cherry_CRS_phenotyping_2010"
"628","FR9T033","Prunus avium","626.1","Sweet_cherry_CRS_phenotyping_2011"
"629","FR9T033","Prunus avium","813.7","Sweet_cherry_CRS_phenotyping_2012"
"630","FR9T034","Prunus avium","536.4","Sweet_cherry_CRS_phenotyping_2011"
"631","FR9T034","Prunus avium","615.9","Sweet_cherry_CRS_phenotyping_2012"
"632","FR9T081","Prunus avium","830","Sweet_cherry_CRS_phenotyping_2012"
"633","FR9T081","Prunus avium","1009.5","Sweet_cherry_CRS_phenotyping_2011"
"634","FR9T083","Prunus avium","633.2","Sweet_cherry_CRS_phenotyping_2012"
"635","FR9T083","Prunus avium","719.9","Sweet_cherry_CRS_phenotyping_2011"
"636","FR9T084","Prunus avium","661.8","Sweet_cherry_CRS_phenotyping_2012"
"637","FR9T084","Prunus avium","937.1","Sweet_cherry_CRS_phenotyping_2011"
"638","FR9T085","Prunus avium","619","Sweet_cherry_CRS_phenotyping_2012"
"639","FR9T085","Prunus avium","1248.1","Sweet_cherry_CRS_phenotyping_2011"
"640","FR9T086","Prunus avium","634.3","Sweet_cherry_CRS_phenotyping_2012"
"641","FR9T086","Prunus avium","823.9","Sweet_cherry_CRS_phenotyping_2011"
"642","FR9T087","Prunus avium","707.7","Sweet_cherry_CRS_phenotyping_2012"
"643","FR9T087","Prunus avium","1075.8","Sweet_cherry_CRS_phenotyping_2011"
"644","FR9T096","Prunus avium","580.2","Sweet_cherry_CRS_phenotyping_2012"
"645","FR9T097","Prunus avium","631.2","Sweet_cherry_CRS_phenotyping_2012"
"646","FR9T097","Prunus avium","840.2","Sweet_cherry_CRS_phenotyping_2011"
"647","FR9T098","Prunus avium","582.3","Sweet_cherry_CRS_phenotyping_2012"
"648","FR9T098","Prunus avium","808.6","Sweet_cherry_CRS_phenotyping_2011"
