"#","Germplasm","Species","Pull_Force","Dataset"
"76","FR28T002","Prunus avium","601.6","Sweet_cherry_CRS_phenotyping_2012"
"77","FR1T036","Prunus avium","900.4","Sweet_cherry_CRS_phenotyping_2012"
"78","FR1T036","Prunus avium","972.8","Sweet_cherry_CRS_phenotyping_2011"
"79","FR1T036","Prunus avium","1417.4","Sweet_cherry_CRS_phenotyping_2010"
"80","FR1T074","Prunus avium","961.6","Sweet_cherry_CRS_phenotyping_2011"
"81","FR1T074","Prunus avium","1060.5","Sweet_cherry_CRS_phenotyping_2010"
"82","FR1T074","Prunus avium","1138","Sweet_cherry_CRS_phenotyping_2012"
"83","FR2T063","Prunus avium","634.3","Sweet_cherry_CRS_phenotyping_2012"
"84","FR2T030","Prunus avium","893.3","Sweet_cherry_CRS_phenotyping_2011"
"85","FR2T030","Prunus avium","929","Sweet_cherry_CRS_phenotyping_2012"
"86","FR2T030","Prunus avium","1241","Sweet_cherry_CRS_phenotyping_2010"
"87","FR14T012","Prunus avium","883.1","Sweet_cherry_CRS_phenotyping_2012"
"88","FR3T070","Prunus avium","445.6","Sweet_cherry_CRS_phenotyping_2011"
"89","FR3T070","Prunus avium","479.3","Sweet_cherry_CRS_phenotyping_2012"
"90","FR1T035","Prunus avium","718.9","Sweet_cherry_CRS_phenotyping_2012"
"91","FR1T035","Prunus avium","885.1","Sweet_cherry_CRS_phenotyping_2010"
"92","FR1T035","Prunus avium","908.6","Sweet_cherry_CRS_phenotyping_2011"
"93","FR1T066","Prunus avium","628.1","Sweet_cherry_CRS_phenotyping_2012"
"94","FR1T066","Prunus avium","794.4","Sweet_cherry_CRS_phenotyping_2011"
"95","FR1T066","Prunus avium","975.9","Sweet_cherry_CRS_phenotyping_2010"
"96","FR1T069","Prunus avium","1047.2","Sweet_cherry_CRS_phenotyping_2011"
"97","FR1T069","Prunus avium","1320.5","Sweet_cherry_CRS_phenotyping_2012"
"98","FR1T069","Prunus avium","1392.9","Sweet_cherry_CRS_phenotyping_2010"
"99","FR2T058","Prunus avium","738.3","Sweet_cherry_CRS_phenotyping_2012"
"100","FR2T058","Prunus avium","1032","Sweet_cherry_CRS_phenotyping_2010"
"101","FR2T058","Prunus avium","1127.8","Sweet_cherry_CRS_phenotyping_2011"
"102","FR14T100","Prunus avium","986.1","Sweet_cherry_CRS_phenotyping_2012"
"103","FR14T100","Prunus avium","1624.4","Sweet_cherry_CRS_phenotyping_2011"
"104","FR20T045","Prunus avium","1270.6","Sweet_cherry_CRS_phenotyping_2012"
"105","FR21T040","Prunus avium","752.6","Sweet_cherry_CRS_phenotyping_2012"
"106","FR21T040","Prunus avium","850.4","Sweet_cherry_CRS_phenotyping_2011"
"107","FR31T016","Prunus avium","738.3","Sweet_cherry_CRS_phenotyping_2012"
"108","FR23T097","Prunus avium","668.9","Sweet_cherry_CRS_phenotyping_2012"
"109","FR27T018","Prunus avium","504.8","Sweet_cherry_CRS_phenotyping_2012"
"110","FR27T018","Prunus avium","1150.2","Sweet_cherry_CRS_phenotyping_2011"
"111","FR28T001","Prunus avium","558.8","Sweet_cherry_CRS_phenotyping_2012"
"112","FR28T100","Prunus avium","461.9","Sweet_cherry_CRS_phenotyping_2011"
