"#","Germplasm","Species","Perc_Cracking","Dataset"
"78","FR12T056","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"79","FR12T058","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"80","FR12T063","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"81","FR12T066","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"82","FR12T067","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"83","FR12T071","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"84","FR12T072","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"85","FR12T073","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"86","FR12T076","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"87","FR12T077","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"88","FR12T077","Prunus avium","19","Sweet_cherry_CRS_phenotyping_2010"
"89","FR12T080","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"90","FR12T091","Prunus avium","7.69","Sweet_cherry_CRS_phenotyping_2011"
"91","FR13T058","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"92","FR13T061","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"93","FR14T056","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"94","FR14T060","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"95","FR14T075","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"96","FR14T076","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"97","FR14T078","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"98","FR14T079","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"99","FR14T080","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"100","FR14T081","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"101","FR14T082","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"102","FR14T084","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"103","FR14T086","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"104","FR16T024","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"105","FR17T006","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"106","FR17T051","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"107","FR18T017","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"108","FR18T018","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"109","FR18T019","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"110","FR18T041","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"111","FR18T043","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"112","FR18T044","Prunus avium","25","Sweet_cherry_CRS_phenotyping_2011"
"113","FR18T048","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"114","FR18T071","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"115","FR1T028","Prunus avium","6.25","Sweet_cherry_CRS_phenotyping_2011"
"116","FR1T029","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"117","FR1T030","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"118","FR1T030","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"119","FR1T031","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"120","FR1T032","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"121","FR1T032","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"122","FR1T033","Prunus avium","16","Sweet_cherry_CRS_phenotyping_2010"
"123","FR1T037","Prunus avium","12","Sweet_cherry_CRS_phenotyping_2010"
"124","FR1T038","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"125","FR1T038","Prunus avium","24","Sweet_cherry_CRS_phenotyping_2010"
"126","FR1T039","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"127","FR1T039","Prunus avium","8","Sweet_cherry_CRS_phenotyping_2011"
"128","FR1T040","Prunus avium","10","Sweet_cherry_CRS_phenotyping_2011"
"129","FR1T040","Prunus avium","24","Sweet_cherry_CRS_phenotyping_2010"
"130","FR1T041","Prunus avium","8","Sweet_cherry_CRS_phenotyping_2010"
"131","FR1T042","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"132","FR1T042","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"133","FR1T054","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"134","FR1T054","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"135","FR1T056","Prunus avium","16","Sweet_cherry_CRS_phenotyping_2010"
"136","FR1T065","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"137","FR1T073","Prunus avium","7.14","Sweet_cherry_CRS_phenotyping_2011"
"138","FR1T073","Prunus avium","41.67","Sweet_cherry_CRS_phenotyping_2010"
"139","FR22T002","Prunus avium","50","Sweet_cherry_CRS_phenotyping_2011"
"140","FR22T004","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"141","FR23T090","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"142","FR23T119","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"143","FR23T120","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"144","FR23T130","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"145","FR23T131","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"146","FR24T077","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"147","FR25T081","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"148","FR25T090","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"149","FR26T033","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"150","FR26T034","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"151","FR26T036","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"152","FR26T037","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"153","FR26T038","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"154","FR27T001","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"155","FR27T012","Prunus avium","25","Sweet_cherry_CRS_phenotyping_2011"
"156","FR27T013","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"157","FR27T014","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"158","FR27T015","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"159","FR27T052","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"160","FR27T053","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"161","FR27T054","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"162","FR27T094","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"163","FR27T096","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"164","FR27T099","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"165","FR29T122","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"166","FR2T035","Prunus avium","5.88","Sweet_cherry_CRS_phenotyping_2011"
"167","FR2T035","Prunus avium","16.67","Sweet_cherry_CRS_phenotyping_2010"
"168","FR2T037","Prunus avium","8","Sweet_cherry_CRS_phenotyping_2010"
