"#","Germplasm","Species","Stem_length","Dataset"
"323","PC 9816-059","Prunus avium","51.33","Sweet_cherry_CRS_phenotyping_2010"
"324","PC 9816-083","Prunus avium","39.75","Sweet_cherry_CRS_phenotyping_2010"
"325","PC 9816-103","Prunus avium","38.49","Sweet_cherry_CRS_phenotyping_2010"
"326","PC 9816-105","Prunus avium","45.22","Sweet_cherry_CRS_phenotyping_2010"
"327","PC 9816-106","Prunus avium","25.53","Sweet_cherry_CRS_phenotyping_2010"
"328","PC 9816-078","Prunus avium","44.03","Sweet_cherry_CRS_phenotyping_2010"
"329","PC 9819-005","Prunus avium","46.47","Sweet_cherry_CRS_phenotyping_2010"
"330","PC 9819-038","Prunus avium","49.1","Sweet_cherry_CRS_phenotyping_2010"
"331","PC 9814-025","Prunus avium","54.25","Sweet_cherry_CRS_phenotyping_2010"
"332","PC 9814-103","Prunus avium","40.32","Sweet_cherry_CRS_phenotyping_2010"
"333","PC 9814-105","Prunus avium","54.15","Sweet_cherry_CRS_phenotyping_2010"
"334","PC 9814-028","Prunus avium","43.46","Sweet_cherry_CRS_phenotyping_2010"
"335","PC 9814-062","Prunus avium","37.65","Sweet_cherry_CRS_phenotyping_2010"
"336","PC 9814-063","Prunus avium","43.51","Sweet_cherry_CRS_phenotyping_2010"
"337","PC 9814-071","Prunus avium","60.83","Sweet_cherry_CRS_phenotyping_2010"
"338","PC 9814-076","Prunus avium","32.33","Sweet_cherry_CRS_phenotyping_2010"
"339","PC 9819-034","Prunus avium","44.92","Sweet_cherry_CRS_phenotyping_2010"
"340","Unk10-Sdlg","Prunus avium","26.81","Sweet_cherry_CRS_phenotyping_2011"
"341","Unk11-Sdlg","Prunus avium","45.74","Sweet_cherry_CRS_phenotyping_2011"
"342","Unk14-Sdlg","Prunus avium","38.5","Sweet_cherry_CRS_phenotyping_2011"
"343","Unk15-Sdlg","Prunus avium","30.61","Sweet_cherry_CRS_phenotyping_2010"
"344","Unk15-Sdlg","Prunus avium","33.25","Sweet_cherry_CRS_phenotyping_2011"
"345","Unk16-Sdlg","Prunus avium","41.08","Sweet_cherry_CRS_phenotyping_2011"
"346","Unk17-Sdlg","Prunus avium","41.42","Sweet_cherry_CRS_phenotyping_2010"
"347","Unk20-Sdlg","Prunus avium","38.28","Sweet_cherry_CRS_phenotyping_2011"
"348","Unk25-Sdlg","Prunus avium","43.88","Sweet_cherry_CRS_phenotyping_2011"
"349","Emperor Francis","Prunus avium","43.7","Sweet_cherry_CRS_phenotyping_2011"
"350","Black Republican","Prunus avium","38.39","Sweet_cherry_CRS_phenotyping_2011"
"351","Venus","Prunus avium","36.39","Sweet_cherry_CRS_phenotyping_2011"
"352","Moreau","Prunus avium","42.6","Sweet_cherry_CRS_phenotyping_2011"
"353","Index","Prunus avium","37.96","Sweet_cherry_CRS_phenotyping_2010"
"354","Index","Prunus avium","41.46","Sweet_cherry_CRS_phenotyping_2011"
"355","Sunburst","Prunus avium","48","Sweet_cherry_CRS_phenotyping_2011"
