"#","Germplasm","Species","Stem_length","Dataset"
"75","FR10T099","Prunus avium","45.47","Sweet_cherry_CRS_phenotyping_2011"
"76","FR10T101","Prunus avium","27.36","Sweet_cherry_CRS_phenotyping_2011"
"77","FR11T015","Prunus avium","29.63","Sweet_cherry_CRS_phenotyping_2010"
"78","FR11T015","Prunus avium","35.12","Sweet_cherry_CRS_phenotyping_2011"
"79","FR11T016","Prunus avium","52.85","Sweet_cherry_CRS_phenotyping_2011"
"80","FR11T017","Prunus avium","33.31","Sweet_cherry_CRS_phenotyping_2010"
"81","FR11T017","Prunus avium","41.41","Sweet_cherry_CRS_phenotyping_2011"
"82","FR11T018","Prunus avium","36.88","Sweet_cherry_CRS_phenotyping_2010"
"83","FR11T019","Prunus avium","38.38","Sweet_cherry_CRS_phenotyping_2011"
"84","FR11T025","Prunus avium","46.29","Sweet_cherry_CRS_phenotyping_2011"
"85","FR11T025","Prunus avium","53.22","Sweet_cherry_CRS_phenotyping_2010"
"86","FR11T027","Prunus avium","41.26","Sweet_cherry_CRS_phenotyping_2011"
"87","FR11T027","Prunus avium","42.33","Sweet_cherry_CRS_phenotyping_2010"
"88","FR11T028","Prunus avium","26.17","Sweet_cherry_CRS_phenotyping_2011"
"89","FR11T028","Prunus avium","35.7","Sweet_cherry_CRS_phenotyping_2010"
"90","FR11T029","Prunus avium","39.92","Sweet_cherry_CRS_phenotyping_2011"
"91","FR11T029","Prunus avium","48.31","Sweet_cherry_CRS_phenotyping_2010"
"92","FR11T030","Prunus avium","49.91","Sweet_cherry_CRS_phenotyping_2010"
"93","FR11T031","Prunus avium","35.44","Sweet_cherry_CRS_phenotyping_2011"
"94","FR11T031","Prunus avium","37.09","Sweet_cherry_CRS_phenotyping_2010"
"95","FR11T032","Prunus avium","26.34","Sweet_cherry_CRS_phenotyping_2010"
"96","FR11T032","Prunus avium","38.53","Sweet_cherry_CRS_phenotyping_2011"
"97","FR12T001","Prunus avium","32.15","Sweet_cherry_CRS_phenotyping_2011"
"98","FR12T004","Prunus avium","36.3","Sweet_cherry_CRS_phenotyping_2011"
"99","FR12T006","Prunus avium","38.24","Sweet_cherry_CRS_phenotyping_2011"
"100","FR12T009","Prunus avium","33.22","Sweet_cherry_CRS_phenotyping_2011"
"101","FR12T011","Prunus avium","29.22","Sweet_cherry_CRS_phenotyping_2010"
"102","FR12T012","Prunus avium","27.82","Sweet_cherry_CRS_phenotyping_2011"
"103","FR12T056","Prunus avium","34.74","Sweet_cherry_CRS_phenotyping_2011"
"104","FR12T058","Prunus avium","39.08","Sweet_cherry_CRS_phenotyping_2011"
"105","FR12T063","Prunus avium","33.98","Sweet_cherry_CRS_phenotyping_2011"
"106","FR12T066","Prunus avium","42.13","Sweet_cherry_CRS_phenotyping_2011"
"107","FR12T067","Prunus avium","34.57","Sweet_cherry_CRS_phenotyping_2011"
"108","FR12T068","Prunus avium","48.16","Sweet_cherry_CRS_phenotyping_2011"
"109","FR12T071","Prunus avium","33.21","Sweet_cherry_CRS_phenotyping_2011"
"110","FR12T072","Prunus avium","45.71","Sweet_cherry_CRS_phenotyping_2011"
"111","FR12T073","Prunus avium","33.92","Sweet_cherry_CRS_phenotyping_2011"
"112","FR12T076","Prunus avium","38.93","Sweet_cherry_CRS_phenotyping_2011"
"113","FR12T077","Prunus avium","33.15","Sweet_cherry_CRS_phenotyping_2010"
"114","FR12T077","Prunus avium","39.24","Sweet_cherry_CRS_phenotyping_2011"
"115","FR12T080","Prunus avium","36.56","Sweet_cherry_CRS_phenotyping_2011"
"116","FR12T091","Prunus avium","44.43","Sweet_cherry_CRS_phenotyping_2011"
"117","FR12T093","Prunus avium","28.66","Sweet_cherry_CRS_phenotyping_2011"
"118","FR13T058","Prunus avium","36.03","Sweet_cherry_CRS_phenotyping_2011"
"119","FR13T061","Prunus avium","34.97","Sweet_cherry_CRS_phenotyping_2011"
"120","FR14T056","Prunus avium","40.81","Sweet_cherry_CRS_phenotyping_2011"
"121","FR14T057","Prunus avium","39.49","Sweet_cherry_CRS_phenotyping_2011"
"122","FR14T060","Prunus avium","48.06","Sweet_cherry_CRS_phenotyping_2011"
"123","FR14T075","Prunus avium","39.95","Sweet_cherry_CRS_phenotyping_2011"
"124","FR14T076","Prunus avium","47.86","Sweet_cherry_CRS_phenotyping_2011"
"125","FR14T078","Prunus avium","41.12","Sweet_cherry_CRS_phenotyping_2011"
"126","FR14T079","Prunus avium","46.13","Sweet_cherry_CRS_phenotyping_2011"
"127","FR14T080","Prunus avium","61.91","Sweet_cherry_CRS_phenotyping_2011"
"128","FR14T081","Prunus avium","51.76","Sweet_cherry_CRS_phenotyping_2011"
"129","FR14T082","Prunus avium","46.76","Sweet_cherry_CRS_phenotyping_2011"
"130","FR14T084","Prunus avium","39.54","Sweet_cherry_CRS_phenotyping_2011"
"131","FR14T086","Prunus avium","44.3","Sweet_cherry_CRS_phenotyping_2011"
"132","FR16T024","Prunus avium","26.98","Sweet_cherry_CRS_phenotyping_2011"
"133","FR17T006","Prunus avium","44.14","Sweet_cherry_CRS_phenotyping_2011"
"134","FR17T051","Prunus avium","36.81","Sweet_cherry_CRS_phenotyping_2011"
"135","FR18T017","Prunus avium","51.6","Sweet_cherry_CRS_phenotyping_2011"
"136","FR18T018","Prunus avium","41.35","Sweet_cherry_CRS_phenotyping_2011"
"137","FR18T019","Prunus avium","55.68","Sweet_cherry_CRS_phenotyping_2011"
