"#","Germplasm","Species","Perc_Pitting","Dataset"
"77","FR18T017","Prunus avium","33.33","Sweet_cherry_CRS_phenotyping_2011"
"78","FR18T019","Prunus avium","25","Sweet_cherry_CRS_phenotyping_2011"
"79","FR18T041","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"80","FR18T043","Prunus avium","25","Sweet_cherry_CRS_phenotyping_2011"
"81","FR1T028","Prunus avium","12.5","Sweet_cherry_CRS_phenotyping_2011"
"82","FR1T029","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"83","FR1T030","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"84","FR1T030","Prunus avium","8.33","Sweet_cherry_CRS_phenotyping_2011"
"85","FR1T031","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"86","FR1T031","Prunus avium","4.76","Sweet_cherry_CRS_phenotyping_2011"
"87","FR1T032","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"88","FR1T033","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"89","FR1T033","Prunus avium","6.67","Sweet_cherry_CRS_phenotyping_2011"
"90","FR1T037","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"91","FR1T037","Prunus avium","11.11","Sweet_cherry_CRS_phenotyping_2011"
"92","FR1T038","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"93","FR1T038","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2010"
"94","FR1T039","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2010"
"95","FR1T040","Prunus avium","8","Sweet_cherry_CRS_phenotyping_2010"
"96","FR1T041","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"97","FR1T041","Prunus avium","4.76","Sweet_cherry_CRS_phenotyping_2011"
"98","FR1T042","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"99","FR1T042","Prunus avium","12","Sweet_cherry_CRS_phenotyping_2011"
"100","FR1T054","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"101","FR1T054","Prunus avium","15.38","Sweet_cherry_CRS_phenotyping_2011"
"102","FR1T056","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"103","FR1T065","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"104","FR1T065","Prunus avium","10","Sweet_cherry_CRS_phenotyping_2011"
"105","FR1T073","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
