"#","Germplasm","Species","Fruit_Shape","Dataset"
"78","FR1T069","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"79","FR2T058","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"80","FR2T058","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"81","FR14T100","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"82","FR14T100","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"83","FR20T045","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"84","FR21T040","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"85","FR21T040","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"86","FR31T016","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"87","FR23T097","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"88","FR27T018","Prunus avium","3.4","Sweet_cherry_CRS_phenotyping_2012"
"89","FR27T018","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"90","FR28T001","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"91","FR28T100","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"92","FR28T100","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"93","FR28T101","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"94","FR28T101","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"95","FR28T102","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"96","FR28T104","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"97","FR28T104","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"98","FR28T105","Prunus avium","3.8","Sweet_cherry_CRS_phenotyping_2012"
"99","FR28T105","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"100","FR28T106","Prunus avium","1.8","Sweet_cherry_CRS_phenotyping_2012"
"101","FR28T106","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"102","FR28T107","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"103","FR28T107","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"104","FR28T108","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"105","FR28T108","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"106","FR29T074","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"107","FR29T075","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"108","FR29T075","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"109","FR29T076","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"110","FR29T076","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"111","FR29T077","Prunus avium","3.2","Sweet_cherry_CRS_phenotyping_2012"
"112","FR29T077","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"113","FR10T098","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"114","FR10T099","Prunus avium","4.4","Sweet_cherry_CRS_phenotyping_2012"
"115","FR10T099","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"116","FR10T101","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"117","FR10T101","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"118","FR11T015","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"119","FR11T015","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"120","FR11T016","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"121","FR11T016","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"122","FR11T017","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
