"var","Blomning","Sort","label_aka","nr","Typ","Zon","zone_extended","zone_from","zone_to","intresse","Eplanta","available","Sylt","disease_resistance","cracking_resistance","Storlek","maturity","kv","Mognad","Sötma","Syra","juicy","Fasthet","Kött","Färg","aroma","God","smak","sylt.1","V30","prominent_features","ursprung","note"
"stora_klarbar",NA,"Stora klarbär","",25,"Sur",5,"NA","NA","NA","NA","Nej",1,"Ja",NA,NA,NA,"jul_aug","","Mitten","Medel","Medel",3,NA,"Röd","Gulrött",NA,"Ja","Stor, gulröd, söt och välsmakande frukt. Även väldigt bra till konservering","NA",NA,"Litet träd eller buske.","",""
"sunburst",4,"Sunburst","",26,"Söt",4,"4","1","3","NA","Nej",1,"Nej",3,3,NA,"aug","","Sen","Hög","Medel",3,"Fast","Röd","Rött",NA,"Ja","Söt. söta och mycket saftiga. Mycket stora mörkröda frukter. Fast fruktkött av fin kvalité. Frukten är hållbar.","NA",NA,"","",""
"triaux",NA,"Triaux","",27,"Sur",4,"NA","NA","NA","NA","Nej",1,"Ja",NA,NA,"Stor","","",NA,NA,"Hög",NA,"Mjuk","Gulvitt","Rött",NA,NA,"","NA",NA,"","",""
"tschernokorka",NA,"Tschernokorka","",28,"Sur",3,"NA","NA","NA","NA","Nej",0,"Ja",NA,NA,"Medel","tidigt","","Mitten",NA,"Hög",3,"Mjuk","Röd mörk","Rött mörkt",NA,"Nej","","NA",NA,"","",""
"van",2,"Van","",29,"Söt",4,"4","1","3","NA","Ja",1,NA,2,2,"Medel","juli_aug","","Mitten","Hög","Medel",3,"Fast","Röd mörk","Rött mörkt",NA,"Ja!","God sort som ger ganska stora fina, mörkröda (nästan violetta), glänsande bigarråer med tunt skal och sötsyrlig smak. Både skalet och fruktköttet är vackert mörkrött, saftigt och fast.","NA",NA,"","Kanada",""
"donissens_gelbe_knorpel",4,"Dönissen","Dönissens Gelbe Knorpelkirsche",30,"Söt",2,"3","1","3","1","Nej",1,NA,NA,NA,NA,"ultimo_aug","","Sen","Hög",NA,NA,"Fast","Gulvitt","Gult",NA,NA,"mellanstora helgula dessertbär med fast kött och söt smak (med litet syra och litet bitterhet). vitgult, ådrat, fast, saftigt, ofärgad saft","NA",NA,"","Tyskland",""
"kordia",4,"Kordia","",31,"Söt",3,"NA","1","3","1","Nej",1,NA,3,NA,NA,"juli_aug","","Mitten","Medel","Medel",NA,"Fast","Röd","Rött mörkt",1,"Ja","god aromatisk smak söt och sur","NA",NA,"","Tjeckien","Denna sort är rikt bärande och misslyckas aldrig. Sjukdomsresistens är utmärkt, särskilt mot cancer."
"regina",4,"Regina","",32,"Söt",3,"4","1","3","NA","Ja",1,"Kanske",NA,3,NA,"aug","7-8","Sen","Hög",NA,3,"Fast","Röd mörk","Rött mörkt",2,"Ja!","rödbruna, stora körsbär med glänsande skal och fast kött med söt smak och god arom. Mycket god","NA",NA,"Motståndskraftig mot sprickning vid rikligt regn.","Tyskland"," mycket motståndskraftigt mot sprickbildning. Kräver bra pollinering."
"victor",3,"Victor","Viktor",33,"Söt",2,"NA","1","2","NA","Nej",1,"Kanske",NA,NA,"Medel","juli_aug","","Mitten","Medel","Medel",3,"Fast","Gult","Gulrött",3,"Ja","sötsyrlig med fin arom. fast, saftigt","NA",NA,"Kraftigväxande","",""
"allm_klarbar",NA,"Allmänt klarbär","",34,"Sur",6,"NA","1","6","NA","Nej",0,NA,NA,NA,NA,"","",NA,"Medel","Medel",NA,NA,"Röd","Rött",NA,"Ja","Sötsyrlig ","NA",NA,"","",""
"lettisk_lag",NA,"Lettisk låg","",36,"Sur",6,"7","NA","NA","NA","Nej",1,NA,NA,NA,NA,"aug","","Sen","Medel","Medel",3,NA,"","Rött mörkt",NA,NA,"Den sötaste av surkörsbären","NA",NA,"Härdig, låg, buskig","",""
"schneiders_spate_knorpelkirsche",NA,"Schneiders Späte Knorpel","Haumüller, Kaiser Franz, Germersdorfer, Höfchenkirsche, Kaukasische, Nürtinger Riesenkirsche",38,"Söt",3,"","","","","Nej",0,NA,NA,1,NA,"late","","Sen","Hög",NA,3,"Fast","Röd","Rött mörkt",NA,NA,"","",NA,"","",""
"rainier",NA,"Rainier","",39,"Söt",3,"4","","","","Nej",0,NA,NA,2,NA,"","medium","Mitten","Hög","Låg",2,"Medel","Gulvitt","Gulrött",3,"Ja!","","",NA,"","",""
"burlat",2,"Burlat","Early Burlat",40,"Söt",3,"","","","","Nej",1,NA,NA,NA,"Stor","jun_jul","","Tidig","Hög",NA,3,"Fast","Röd ljus","Rött mörkt",3,"Ja","Fast, saftigt och sött fruktkött med god arom. Stora till mycket stora glänsande mörkt röda.","",NA,"Tidig mognad. Referenskörsbär för mognadstid I Europa.","",""
"linda",4,"Linda","",41,"Söt",3,"","","","","Nej",1,NA,NA,3,NA,"jul_aug","","Mitten",NA,NA,3,"Fast","","Rött",3,"Ja!","Köttet är fast, saftigt och smaken är söt, god och aromatiskt. Medelstora till stora, mörkt scharlakansröda bär.","",NA,"","",""
"margit",3,"Margit","",42,"Söt",4,"","","","","Nej",1,NA,NA,NA,NA,"jun_jul","","Tidig","Hög",NA,3,"Fast","","Rött",3,"Ja!","Fast, saftigt och sött fruktkött med fin arom och hög kvalitet. Stora och hjärtformade bär. Scharlakansröda. ","",NA,"","",""
"sweetheart",2,"Sweetheart","",43,"Söt",3,"","","","","Nej",1,"Ja",NA,2,"Medel","ultimo_aug","","Sen","Hög","Medel",3,"Fast","Röd","Rött mörkt",3,"Ja","","",NA,"Trivs i sol-halvskugga","",""
"merton_late",NA,"Merton Late","",44,"Söt",3,"","","","","Nej",1,"Nej",2,NA,"Medel","sen","","Sen","Hög",NA,3,"Fast","Gulvitt","Gulrött",NA,NA,"","",NA,"","",""
