label,Annabella,Altenburger Melonenkirsche,Barbara,Badacsoner,Balsgård 20406,Belvitsa,Beta,Bianca,Black Giant,Bleyhls Braune,Boitzeburger,Burbank,Chinook,Clark September,Coes Transparante,Drögsperyds Medeltidiga,Drögsperyds Tidiga,Esperen,Flamentiner A,Flamentiner B,Fromms Schwarze Herz,Frühe Meckenheimer,Frühe von Dobitschen,Greening,Grosse Schwarze Herz,Hauschilds Frühe Schwarze,Hoskins,Hudson,Lamida,Lucien,Mahognibär,Merton Late,Moreau,Poznanska,Ranna Ljaskovska,Rebekka,Schauenburger,Schneiders Späte Knorpel,Schrecken,Souvenir des Charmes,Spitze Braune,Sue,Teichners Schwarze Herzkirsche,Valera,Valeska,Vega,Velvet,Wolska Wczesna,Östads Röda,
origin,7,9,9,1,9,1,11,7,12,5,9,12,12,4,9,10,10,4,9,4,9,6,9,12,4,4,13,12,14,4,10,15,8,1,1,7,3,11,15,5,5,9,5,2,7,2,2,8,10,
season,5,7,5,7,5,3,5,7,7,3,3,3,5,7,3,5,3,5,5,5,5,3,3,7,5,5,7,9,7,5,7,9,3,7,1,5,9,7,5,3,3,5,3,5,5,5,7,3,9,
colour,5,5,3,5,5,5,5,5,5,5,5,5,5,5,3,5,5,3,3,3,5,5,5,5,5,5,5,5,5,3,5,3,5,3,5,5,5,5,5,5,5,3,5,5,5,3,5,5,5,
fruit_size,7,5,5,9,5,3,3,5,5,3,5,5,9,1,3,3,3,7,3,5,5,5,5,5,7,3,7,7,7,3,3,3,7,5,3,5,5,9,5,7,5,5,5,5,5,7,5,5,5,
fruit_shape,4,3,4,5,5,3,4,5,2,3,5,5,2,5,1,5,4,4,3,3,5,5,3,2,2,2,3,2,4,5,5,4,3,2,5,3,5,5,5,2,5,5,2,4,5,1,4,2,5,
fruit_stalk,9,5,7,7,5,5,7,7,3,5,5,3,5,5,3,5,5,5,7,5,5,9,5,3,5,3,5,5,5,5,3,5,3,5,5,7,7,7,5,3,3,5,3,5,5,3,5,5,5,
firmness,5,7,5,7,7,5,7,7,7,7,5,5,7,5,5,5,5,7,5,5,5,5,5,7,7,5,7,7,7,5,7,7,7,7,5,5,5,7,7,7,5,7,5,5,5,7,7,7,7,
cracking,5,5,7,7,3,5,3,3,9,7,7,7,9,3,1,5,7,7,5,3,7,5,5,5,5,7,3,3,9,3,3,1,9,5,3,5,3,7,7,9,5,1,5,9,5,5,7,5,3,
fertility,7,7,5,5,5,5,5,5,5,5,5,7,5,5,5,5,7,3,5,7,3,7,5,3,3,5,3,5,5,5,7,7,5,5,5,5,3,7,NA,3,5,7,7,5,7,7,7,5,5,
