"#","Germplasm","Species","Bulked_Fruit_SSC","Dataset"
"75","FR11T031","Prunus avium","20.1","Sweet_cherry_CRS_phenotyping_2010"
"76","FR11T031","Prunus avium","20.5","Sweet_cherry_CRS_phenotyping_2011"
"77","FR11T032","Prunus avium","16.2","Sweet_cherry_CRS_phenotyping_2010"
"78","FR11T032","Prunus avium","17.7","Sweet_cherry_CRS_phenotyping_2011"
"79","FR12T001","Prunus avium","20.7","Sweet_cherry_CRS_phenotyping_2011"
"80","FR12T011","Prunus avium","19.5","Sweet_cherry_CRS_phenotyping_2010"
"81","FR12T058","Prunus avium","20.5","Sweet_cherry_CRS_phenotyping_2011"
"82","FR12T068","Prunus avium","23.1","Sweet_cherry_CRS_phenotyping_2011"
"83","FR12T077","Prunus avium","23.8","Sweet_cherry_CRS_phenotyping_2010"
"84","FR12T080","Prunus avium","20.5","Sweet_cherry_CRS_phenotyping_2011"
"85","FR12T091","Prunus avium","28.2","Sweet_cherry_CRS_phenotyping_2011"
"86","FR13T061","Prunus avium","21","Sweet_cherry_CRS_phenotyping_2011"
"87","FR14T057","Prunus avium","23.4","Sweet_cherry_CRS_phenotyping_2011"
"88","FR14T060","Prunus avium","26.6","Sweet_cherry_CRS_phenotyping_2011"
"89","FR14T075","Prunus avium","22.5","Sweet_cherry_CRS_phenotyping_2011"
"90","FR14T080","Prunus avium","26.2","Sweet_cherry_CRS_phenotyping_2011"
"91","FR14T081","Prunus avium","21.5","Sweet_cherry_CRS_phenotyping_2011"
"92","FR17T006","Prunus avium","24.3","Sweet_cherry_CRS_phenotyping_2011"
"93","FR17T051","Prunus avium","31","Sweet_cherry_CRS_phenotyping_2011"
"94","FR18T018","Prunus avium","19.6","Sweet_cherry_CRS_phenotyping_2011"
"95","FR18T019","Prunus avium","18.9","Sweet_cherry_CRS_phenotyping_2011"
"96","FR18T041","Prunus avium","17.6","Sweet_cherry_CRS_phenotyping_2011"
"97","FR18T043","Prunus avium","19.6","Sweet_cherry_CRS_phenotyping_2011"
"98","FR18T071","Prunus avium","25.8","Sweet_cherry_CRS_phenotyping_2011"
"99","FR1T027","Prunus avium","18.5","Sweet_cherry_CRS_phenotyping_2011"
"100","FR1T029","Prunus avium","17.3","Sweet_cherry_CRS_phenotyping_2011"
"101","FR1T029","Prunus avium","19","Sweet_cherry_CRS_phenotyping_2010"
"102","FR1T030","Prunus avium","18.2","Sweet_cherry_CRS_phenotyping_2011"
"103","FR1T030","Prunus avium","21.7","Sweet_cherry_CRS_phenotyping_2010"
"104","FR1T031","Prunus avium","20.6","Sweet_cherry_CRS_phenotyping_2011"
"105","FR1T031","Prunus avium","23.5","Sweet_cherry_CRS_phenotyping_2010"
"106","FR1T032","Prunus avium","19","Sweet_cherry_CRS_phenotyping_2011"
"107","FR1T032","Prunus avium","22.1","Sweet_cherry_CRS_phenotyping_2010"
"108","FR1T033","Prunus avium","18.6","Sweet_cherry_CRS_phenotyping_2010"
"109","FR1T033","Prunus avium","22","Sweet_cherry_CRS_phenotyping_2011"
"110","FR1T037","Prunus avium","16.6","Sweet_cherry_CRS_phenotyping_2011"
"111","FR1T037","Prunus avium","19","Sweet_cherry_CRS_phenotyping_2010"
"112","FR1T038","Prunus avium","14.8","Sweet_cherry_CRS_phenotyping_2011"
"113","FR1T038","Prunus avium","19.2","Sweet_cherry_CRS_phenotyping_2010"
"114","FR1T039","Prunus avium","18.9","Sweet_cherry_CRS_phenotyping_2010"
"115","FR1T040","Prunus avium","20.1","Sweet_cherry_CRS_phenotyping_2010"
"116","FR1T041","Prunus avium","26.8","Sweet_cherry_CRS_phenotyping_2010"
"117","FR1T042","Prunus avium","18.5","Sweet_cherry_CRS_phenotyping_2011"
"118","FR1T042","Prunus avium","22.5","Sweet_cherry_CRS_phenotyping_2010"
"119","FR1T054","Prunus avium","23.6","Sweet_cherry_CRS_phenotyping_2011"
"120","FR1T054","Prunus avium","23.7","Sweet_cherry_CRS_phenotyping_2010"
"121","FR1T056","Prunus avium","18.4","Sweet_cherry_CRS_phenotyping_2011"
"122","FR1T056","Prunus avium","19.9","Sweet_cherry_CRS_phenotyping_2010"
"123","FR1T065","Prunus avium","17.2","Sweet_cherry_CRS_phenotyping_2011"
"124","FR1T065","Prunus avium","19.7","Sweet_cherry_CRS_phenotyping_2010"
"125","FR1T073","Prunus avium","19.8","Sweet_cherry_CRS_phenotyping_2011"
"126","FR1T073","Prunus avium","24.4","Sweet_cherry_CRS_phenotyping_2010"
"127","FR22T002","Prunus avium","19.7","Sweet_cherry_CRS_phenotyping_2011"
"128","FR23T129","Prunus avium","21.4","Sweet_cherry_CRS_phenotyping_2011"
"129","FR26T033","Prunus avium","21.4","Sweet_cherry_CRS_phenotyping_2011"
"130","FR26T034","Prunus avium","18.4","Sweet_cherry_CRS_phenotyping_2011"
"131","FR26T036","Prunus avium","20.6","Sweet_cherry_CRS_phenotyping_2011"
"132","FR26T037","Prunus avium","18","Sweet_cherry_CRS_phenotyping_2011"
"133","FR26T038","Prunus avium","16.4","Sweet_cherry_CRS_phenotyping_2011"
"134","FR27T001","Prunus avium","20.7","Sweet_cherry_CRS_phenotyping_2011"
"135","FR27T009","Prunus avium","19.6","Sweet_cherry_CRS_phenotyping_2011"
"136","FR27T013","Prunus avium","19.4","Sweet_cherry_CRS_phenotyping_2011"
"137","FR27T014","Prunus avium","22.8","Sweet_cherry_CRS_phenotyping_2011"
"138","FR27T015","Prunus avium","21.1","Sweet_cherry_CRS_phenotyping_2011"
"139","FR27T052","Prunus avium","20.9","Sweet_cherry_CRS_phenotyping_2011"
"140","FR27T053","Prunus avium","20","Sweet_cherry_CRS_phenotyping_2011"
"141","FR29T073","Prunus avium","23.4","Sweet_cherry_CRS_phenotyping_2011"
"142","FR2T035","Prunus avium","17.9","Sweet_cherry_CRS_phenotyping_2011"
"143","FR2T035","Prunus avium","20.5","Sweet_cherry_CRS_phenotyping_2010"
"144","FR2T037","Prunus avium","20","Sweet_cherry_CRS_phenotyping_2010"
