"#","Germplasm","Species","Harvest_Date","Dataset"
"199","FR12T093","Prunus avium","6/28/2011","Sweet_cherry_CRS_phenotyping_2011"
"200","FR12T094","Prunus avium","7/3/2012","Sweet_cherry_CRS_phenotyping_2012"
"201","FR13T058","Prunus avium","6/21/2012","Sweet_cherry_CRS_phenotyping_2012"
"202","FR13T058","Prunus avium","6/28/2011","Sweet_cherry_CRS_phenotyping_2011"
"203","FR13T061","Prunus avium","7/2/2011","Sweet_cherry_CRS_phenotyping_2011"
"204","FR13T061","Prunus avium","7/3/2012","Sweet_cherry_CRS_phenotyping_2012"
"205","FR14T056","Prunus avium","7/1/2012","Sweet_cherry_CRS_phenotyping_2012"
"206","FR14T056","Prunus avium","7/8/2011","Sweet_cherry_CRS_phenotyping_2011"
"207","FR14T060","Prunus avium","7/11/2012","Sweet_cherry_CRS_phenotyping_2012"
"208","FR14T060","Prunus avium","7/12/2011","Sweet_cherry_CRS_phenotyping_2011"
"209","FR14T075","Prunus avium","7/11/2012","Sweet_cherry_CRS_phenotyping_2012"
"210","FR14T075","Prunus avium","7/12/2011","Sweet_cherry_CRS_phenotyping_2011"
"211","FR14T076","Prunus avium","7/11/2012","Sweet_cherry_CRS_phenotyping_2012"
"212","FR14T076","Prunus avium","7/9/2011","Sweet_cherry_CRS_phenotyping_2011"
"213","FR14T078","Prunus avium","7/1/2012","Sweet_cherry_CRS_phenotyping_2012"
"214","FR14T078","Prunus avium","7/9/2011","Sweet_cherry_CRS_phenotyping_2011"
"215","FR14T079","Prunus avium","7/1/2012","Sweet_cherry_CRS_phenotyping_2012"
"216","FR14T079","Prunus avium","7/9/2011","Sweet_cherry_CRS_phenotyping_2011"
"217","FR14T082","Prunus avium","7/1/2012","Sweet_cherry_CRS_phenotyping_2012"
"218","FR14T082","Prunus avium","7/8/2011","Sweet_cherry_CRS_phenotyping_2011"
"219","FR14T084","Prunus avium","7/1/2012","Sweet_cherry_CRS_phenotyping_2012"
"220","FR14T084","Prunus avium","7/7/2011","Sweet_cherry_CRS_phenotyping_2011"
"221","FR14T086","Prunus avium","7/11/2012","Sweet_cherry_CRS_phenotyping_2012"
"222","FR14T086","Prunus avium","7/13/2011","Sweet_cherry_CRS_phenotyping_2011"
"223","FR16T001","Prunus avium","7/10/2012","Sweet_cherry_CRS_phenotyping_2012"
"224","FR16T040","Prunus avium","6/21/2012","Sweet_cherry_CRS_phenotyping_2012"
"225","FR16T041","Prunus avium","7/2/2012","Sweet_cherry_CRS_phenotyping_2012"
"226","FR17T006","Prunus avium","7/2/2011","Sweet_cherry_CRS_phenotyping_2011"
"227","FR17T006","Prunus avium","7/2/2012","Sweet_cherry_CRS_phenotyping_2012"
"228","FR17T051","Prunus avium","7/2/2011","Sweet_cherry_CRS_phenotyping_2011"
"229","FR17T062","Prunus avium","7/2/2012","Sweet_cherry_CRS_phenotyping_2012"
"230","FR18T017","Prunus avium","6/21/2012","Sweet_cherry_CRS_phenotyping_2012"
"231","FR18T017","Prunus avium","6/29/2011","Sweet_cherry_CRS_phenotyping_2011"
"232","FR18T018","Prunus avium","7/2/2012","Sweet_cherry_CRS_phenotyping_2012"
"233","FR18T018","Prunus avium","7/9/2011","Sweet_cherry_CRS_phenotyping_2011"
"234","FR18T019","Prunus avium","7/2/2012","Sweet_cherry_CRS_phenotyping_2012"
