"#","Germplasm","Species","Harvest_Date","Dataset"
"430","FR30T105","Prunus avium","7/3/2012","Sweet_cherry_CRS_phenotyping_2012"
"431","FR30T107","Prunus avium","7/3/2012","Sweet_cherry_CRS_phenotyping_2012"
"432","FR30T108","Prunus avium","7/11/2011","Sweet_cherry_CRS_phenotyping_2011"
"433","FR30T108","Prunus avium","7/9/2012","Sweet_cherry_CRS_phenotyping_2012"
"434","FR30T109","Prunus avium","7/2/2011","Sweet_cherry_CRS_phenotyping_2011"
"435","FR30T109","Prunus avium","7/3/2012","Sweet_cherry_CRS_phenotyping_2012"
"436","FR31T007","Prunus avium","7/13/2012","Sweet_cherry_CRS_phenotyping_2012"
"437","FR31T007","Prunus avium","7/19/2011","Sweet_cherry_CRS_phenotyping_2011"
"438","FR31T008","Prunus avium","7/9/2012","Sweet_cherry_CRS_phenotyping_2012"
"439","FR31T009","Prunus avium","7/9/2012","Sweet_cherry_CRS_phenotyping_2012"
"440","FR31T010","Prunus avium","6/27/2012","Sweet_cherry_CRS_phenotyping_2012"
"441","FR31T010","Prunus avium","7/6/2011","Sweet_cherry_CRS_phenotyping_2011"
"442","FR31T011","Prunus avium","7/9/2012","Sweet_cherry_CRS_phenotyping_2012"
"443","FR31T013","Prunus avium","7/9/2012","Sweet_cherry_CRS_phenotyping_2012"
"444","FR31T014","Prunus avium","7/9/2012","Sweet_cherry_CRS_phenotyping_2012"
"445","FR33T001","Prunus avium","6/26/2012","Sweet_cherry_CRS_phenotyping_2012"
"446","FR33T004","Prunus avium","6/26/2012","Sweet_cherry_CRS_phenotyping_2012"
